VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,8.826585,space,13.535845,1,1,9.393365,0,0,0,1,1,Headphone/t1_2.wav,1,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,2.319815,0,1,1,5,1,Headphone/t3_2.wav,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.171615,0,2,2,2,1,Headphone/t2_1.wav,2,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.17392,0,3,3,3,1,Headphone/t2_2.wav,2,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.60335,0,4,4,4,1,Headphone/t3_1.wav,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.326825,0,5,5,0,1,Headphone/t1_1.wav,1,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,space,38.775425,space,79.796345,space,6.25876,3,1,8.361925,0,0,0,0,1,Practice/Seagull_A.wav,,,,,,,,,,,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,2.084365,0,1,1,1,1,Practice/Skid_B.wav,,,,,,,,,,,,
,,,,,,,,,,,,,1,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,0,1.317055,0,2,2,2,1,Practice/Seagull_A.wav,,,,,,,,,,,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.20582,0,3,3,3,1,Practice/Gargle_A.wav,,,,,,,,,,,,
,,,,,,,,,,,,,2,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,0,0.927145,0,4,4,4,1,Practice/Gargle_B.wav,,,,,,,,,,,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,space,27.44608,3,1,20.53672,0,0,0,0,1,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Coin_A.wav,,,3,1,1.779415,0,1,1,1,1,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,3,1,0.892705,0,2,2,2,1,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,,,3,1,1.394065,0,3,3,3,1,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,,,3,1,0.88383,0,4,4,4,1,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bird.wav,,,3,1,0.940855,0,5,5,5,1,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,,,3,1,1.11705,0,6,6,6,1,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,,,3,1,0.704365,0,7,7,7,1,,
,,,,,,,,,,,,,3,5edb99c84dbf2e82ca0fb381,001,2021-01-24_16h59.09.245,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,,,3,1,0.89443,0,8,8,8,1,,
