VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,7.34892,space,7.39896,3,0,10.495335,0,0,0,3,1,Headphone/t2_2.wav,2,5b89d11c19110c0001eb75e5,001,2021-02-17_19h54.19.489,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,3.7235,0,1,1,4,1,Headphone/t3_1.wav,3,5b89d11c19110c0001eb75e5,001,2021-02-17_19h54.19.489,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.344665,0,2,2,1,1,Headphone/t1_2.wav,1,5b89d11c19110c0001eb75e5,001,2021-02-17_19h54.19.489,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.318555,0,3,3,0,1,Headphone/t1_1.wav,1,5b89d11c19110c0001eb75e5,001,2021-02-17_19h54.19.489,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.641965,0,4,4,2,1,Headphone/t2_1.wav,2,5b89d11c19110c0001eb75e5,001,2021-02-17_19h54.19.489,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.393705,0,5,5,5,1,Headphone/t3_2.wav,3,5b89d11c19110c0001eb75e5,001,2021-02-17_19h54.19.489,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5b89d11c19110c0001eb75e5,001,2021-02-17_19h54.19.489,GuessTheSound,2020.2.10,Win32,60,space,10.03078,space,12.685205,space,4.54736,1,0,4.616245,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5b89d11c19110c0001eb75e5,001,2021-02-17_19h54.19.489,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,3.618855,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5b89d11c19110c0001eb75e5,001,2021-02-17_19h54.19.489,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,0,7.298275,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5b89d11c19110c0001eb75e5,001,2021-02-17_19h54.19.489,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,3.98472,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
