VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,4.2583,space,11.490735,2,1,3.01352,0,0,0,3,1,Headphone/t2_2.wav,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.50861,0,1,1,0,1,Headphone/t1_1.wav,1,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.23264,0,2,2,1,1,Headphone/t1_2.wav,1,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.23731,0,3,3,4,1,Headphone/t3_1.wav,3,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.15043,0,4,4,2,1,Headphone/t2_1.wav,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.267365,0,5,5,5,1,Headphone/t3_2.wav,3,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,space,6.54416,space,18.296755,space,4.85483,3,1,3.92361,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.874295,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,1,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.85764,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.584195,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.918935,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_E.wav,3,NEW,B,space,10.42953,3,1,0.07077,0,0,0,0,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,NEW,B,,,3,1,2.2082,0,1,1,1,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_E.wav,3,NEW,B,,,3,1,0.280145,0,2,2,2,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,NEW,B,,,3,1,0.99502,0,3,3,3,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Phone_D.wav,3,NEW,B,,,3,1,0.36751,0,4,4,4,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Cup.wav,3,NEW,B,,,3,1,0.919165,0,5,5,5,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,3,NEW,B,,,3,1,10.93516,0,6,6,6,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_D.wav,3,NEW,B,,,3,1,2.272205,0,7,7,7,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,NEW,B,,,3,1,0.54287,0,8,8,8,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Faucet_A.wav,3,NEW,B,,,3,1,0.37884,0,9,9,9,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_B.wav,2,SIMILAR,B,,,1,0,1.08239,0,10,10,10,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,3,NEW,B,,,3,1,0.452455,0,11,11,11,1,,
,,,,,,,,,,,,,1,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,1,OLD,B,,,1,1,3.330575,0,12,12,12,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,NEW,B,,,3,1,0.462,0,13,13,13,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_A.wav,3,NEW,B,,,3,1,0.35447,0,14,14,14,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Phone_A.wav,2,SIMILAR,B,,,1,0,0.40851,0,15,15,15,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,B,,,3,1,0.3198,0,16,16,16,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_F.wav,2,SIMILAR,B,,,2,1,0.772895,0,17,17,17,1,,
,,,,,,,,,,,,,2,,001,2021-02-28_17h56.19.516,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,B,,,1,0,0.33826,0,18,18,18,1,,
