VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Writing_A.wav,2,3,NEW,A,,,2,1,0.22267,0,13,13,13,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Faucet_A.wav,2,3,NEW,A,,,1,0,2.46035,0,14,14,14,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Typing.wav,1,1,OLD,A,,,1,1,0.258065,0,15,15,15,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,1,1,OLD,A,,,1,1,0.250845,0,16,16,16,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Wind_B.wav,2,3,NEW,A,,,2,1,0.236,0,17,17,17,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Toilet_B.wav,1,1,OLD,A,,,1,1,0.226275,0,18,18,18,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Pour_C.wav,2,2,SIMILAR,A,,,1,0,0.305845,0,19,19,19,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chime_A.wav,2,2,SIMILAR,A,,,2,1,0.224195,0,20,20,20,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Buzz.wav,1,1,OLD,A,,,1,1,0.33132,0,21,21,21,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Writing_C.wav,2,2,SIMILAR,A,,,2,1,0.385865,0,22,22,22,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Mosquito_B.wav,1,1,OLD,A,,,1,1,1.74607,0,23,23,23,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cough_G.wav,2,3,NEW,A,,,2,1,0.20981,0,24,24,24,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/DialTone.wav,1,1,OLD,A,,,1,1,0.76153,0,25,25,25,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Puff_A.wav,2,3,NEW,A,,,2,1,0.258415,0,26,26,26,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Heartbeat.wav,2,3,NEW,A,,,2,1,0.27259,0,27,27,27,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,2,3,NEW,A,,,2,1,0.319855,0,28,28,28,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_E.wav,2,3,NEW,A,,,2,1,0.346625,0,29,29,29,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Baby_E.wav,2,2,SIMILAR,A,,,2,1,0.37663,0,30,30,30,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Faucet_C.wav,2,2,SIMILAR,A,,,1,0,0.836925,0,31,31,31,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Duck_C.wav,2,3,NEW,A,,,2,1,0.24058,0,32,32,32,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Laugh_A.wav,2,3,NEW,A,,,2,1,0.25069,0,33,33,33,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Wind_B.wav,1,1,OLD,A,,,1,1,0.742005,0,34,34,34,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,2,3,NEW,A,,,2,1,0.409385,0,35,35,35,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Guitar_B.wav,2,3,NEW,A,,,2,1,0.348165,0,36,36,36,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cello.wav,2,3,NEW,A,,,2,1,0.32076,0,37,37,37,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Heartbeat.wav,1,1,OLD,A,,,1,1,0.486565,0,38,38,38,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Airplane_B.wav,2,3,NEW,A,,,2,1,0.28125,0,39,39,39,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cough_A.wav,2,2,SIMILAR,A,,,1,0,0.61268,0,40,40,40,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Trumpet_B.wav,2,3,NEW,A,,,2,1,0.25797,0,41,41,41,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,1,1,OLD,A,,,1,1,0.24864,0,42,42,42,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sneeze_B.wav,2,3,NEW,A,,,2,1,0.25135,0,43,43,43,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Puff_A.wav,1,1,OLD,A,,,1,1,0.20946,0,44,44,44,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_A.wav,2,2,SIMILAR,A,,,2,1,0.21866,0,45,45,45,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Snore_D.wav,2,3,NEW,A,,,2,1,0.285495,0,46,46,46,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Guitar_B.wav,1,1,OLD,A,,,1,1,0.32695,0,47,47,47,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cat_A.wav,2,3,NEW,A,,,2,1,0.21603,0,48,48,48,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Whistle_A.wav,2,3,NEW,A,,,1,0,0.15355,0,49,49,49,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Duck_D.wav,2,2,SIMILAR,A,,,1,0,0.273565,0,50,50,50,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Laugh_D.wav,2,2,SIMILAR,A,,,1,0,0.378145,0,51,51,51,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,1,1,OLD,A,,,1,1,1.33762,0,52,52,52,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cello.wav,1,1,OLD,A,,,1,1,0.201805,0,53,53,53,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Slurp.wav,2,3,NEW,A,,,2,1,0.27135,0,54,54,54,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chomp_A.wav,2,3,NEW,A,,,2,1,0.45883,0,55,55,55,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Airplane_B.wav,1,1,OLD,A,,,2,0,1.476525,0,56,56,56,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/ManWhistle.wav,2,3,NEW,A,,,2,1,0.31333,0,57,57,57,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Trumpet_B.wav,1,1,OLD,A,,,1,1,1.15376,0,58,58,58,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cup.wav,2,3,NEW,A,,,2,1,0.56168,0,59,59,59,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Snore_E.wav,2,2,SIMILAR,A,,,2,1,0.417065,0,60,60,60,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Airhorn.wav,2,3,NEW,A,,,2,1,0.222885,0,61,61,61,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Whistle_C.wav,2,2,SIMILAR,A,,,2,1,0.25819,0,62,62,62,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Phone_D.wav,2,3,NEW,A,,,2,1,0.199495,0,63,63,63,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sneeze_B.wav,1,1,OLD,A,,,1,1,0.31977,0,64,64,64,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cat_A.wav,1,1,OLD,A,,,1,1,0.257335,0,65,65,65,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bagpipe.wav,2,3,NEW,A,,,2,1,0.245995,0,66,66,66,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Slurp.wav,1,1,OLD,A,,,1,1,0.215995,0,67,67,67,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,2,3,NEW,A,,,2,1,0.22977,0,68,68,68,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cow.wav,2,3,NEW,A,,,2,1,0.014485,0,69,69,69,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Siren_E.wav,2,3,NEW,A,,,2,1,0.260585,0,70,70,70,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/ManWhistle.wav,1,1,OLD,A,,,1,1,0.21829,0,71,71,71,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Crow_B.wav,2,3,NEW,A,,,2,1,0.56731,0,72,72,72,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chomp_C.wav,2,2,SIMILAR,A,,,2,1,0.236705,0,73,73,73,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cup.wav,1,1,OLD,A,,,1,1,0.23272,0,74,74,74,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bullfrog.wav,2,3,NEW,A,,,2,1,0.299105,0,75,75,75,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Phone_E.wav,2,2,SIMILAR,A,,,1,0,0.17932,0,76,76,76,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bagpipe.wav,1,1,OLD,A,,,1,1,0.272785,0,77,77,77,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/HairDryer_A.wav,2,3,NEW,A,,,2,1,0.230375,0,78,78,78,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Airhorn.wav,1,1,OLD,A,,,1,1,0.200055,0,79,79,79,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Hammer_A.wav,2,3,NEW,A,,,2,1,0.260995,0,80,80,80,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cuckoo_A.wav,2,3,NEW,A,,,2,1,0.210805,0,81,81,81,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cow.wav,1,1,OLD,A,,,1,1,0.215755,0,82,82,82,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Footsteps_G.wav,2,3,NEW,A,,,2,1,0.236805,0,83,83,83,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Dog_H.wav,2,3,NEW,A,,,2,1,0.359005,0,84,84,84,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,1,1,OLD,A,,,1,1,0.215915,0,85,85,85,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Piano_D.wav,2,3,NEW,A,,,2,1,0.250725,0,86,86,86,1,,
