SoundMST/Helicopter_A.wav,NEW,,SoundMST/Cello.wav,1,1,OLD,,,
SoundMST/Bubbles_A.wav,NEW,,SoundMST/Slurp.wav,2,3,NEW,,,
SoundMST/Growl_G.wav,NEW,,SoundMST/Chomp_A.wav,2,3,NEW,,,
SoundMST/Horse.wav,NEW,,SoundMST/Airplane_B.wav,1,1,OLD,,,
SoundMST/Printer.wav,NEW,,SoundMST/ManWhistle.wav,2,3,NEW,,,
SoundMST/Camera.wav,NEW,,SoundMST/Trumpet_B.wav,1,1,OLD,,,
SoundMST/Clap_B.wav,NEW,,SoundMST/Cup.wav,2,3,NEW,,,
SoundMST/PaperRip.wav,NEW,,SoundMST/Snore_E.wav,2,2,SIMILAR,,,
SoundMST/Droplet_B.wav,NEW,,SoundMST/Airhorn.wav,2,3,NEW,,,
SoundMST/Steam.wav,NEW,,SoundMST/Whistle_C.wav,2,2,SIMILAR,,,
SoundMST/CarStart_E.wav,NEW,,SoundMST/Phone_D.wav,2,3,NEW,,,
SoundMST/Donkey.wav,NEW,,SoundMST/Sneeze_B.wav,1,1,OLD,,,
,,,SoundMST/Cat_A.wav,1,1,OLD,,,
,,,SoundMST/Bagpipe.wav,2,3,NEW,,,
,,,SoundMST/Slurp.wav,1,1,OLD,,,
,,,SoundMST/Bowlingpins.wav,2,3,NEW,,,
,,,SoundMST/Cow.wav,2,3,NEW,,,
,,,SoundMST/Siren_E.wav,2,3,NEW,,,
,,,SoundMST/ManWhistle.wav,1,1,OLD,,,
,,,SoundMST/Crow_B.wav,2,3,NEW,,,
,,,SoundMST/Chomp_C.wav,2,2,SIMILAR,,,
,,,SoundMST/Cup.wav,1,1,OLD,,,
,,,SoundMST/Bullfrog.wav,2,3,NEW,,,
,,,SoundMST/Phone_E.wav,2,2,SIMILAR,,,
,,,SoundMST/Bagpipe.wav,1,1,OLD,,,
,,,SoundMST/HairDryer_A.wav,2,3,NEW,,,
,,,SoundMST/Airhorn.wav,1,1,OLD,,,
,,,SoundMST/Hammer_A.wav,2,3,NEW,,,
,,,SoundMST/Cuckoo_A.wav,2,3,NEW,,,
,,,SoundMST/Cow.wav,1,1,OLD,,,
,,,SoundMST/Footsteps_C.wav,2,3,NEW,,,
,,,SoundMST/Dog_H.wav,2,3,NEW,,,
,,,SoundMST/Bowlingpins.wav,1,1,OLD,,,
,,,SoundMST/Piano_D.wav,2,3,NEW,,,
,,,SoundMST/Fireworks.wav,2,3,NEW,,,
,,,SoundMST/Bullfrog.wav,1,1,OLD,,,
,,,SoundMST/Siren_A.wav,2,2,SIMILAR,,,
,,,SoundMST/Crow_A.wav,2,2,SIMILAR,,,
