VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,NEW,,,2,1,0.32897,0,9,9,9,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Mosquito_B.wav,3,NEW,,,2,1,0.29327,0,10,10,10,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,OLD,,,2,0,0.366455,0,11,11,11,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,2,SIMILAR,,,1,0,0.434275,0,12,12,12,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,NEW,,,2,1,0.30391,0,13,13,13,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,1,OLD,,,1,1,0.367965,0,14,14,14,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,3,NEW,,,2,1,0.318005,0,15,15,15,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Faucet_A.wav,3,NEW,,,2,1,0.791005,0,16,16,16,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,1,OLD,,,1,1,0.39739,0,17,17,17,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,1,OLD,,,1,1,0.3205,0,18,18,18,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,3,NEW,,,1,0,0.610985,0,19,19,19,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Pour_C.wav,2,SIMILAR,,,1,0,0.35845,0,20,20,20,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,1,OLD,,,1,1,0.3559,0,21,21,21,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Baby_A.wav,2,SIMILAR,,,2,1,0.823535,0,22,22,22,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Writing_C.wav,2,SIMILAR,,,2,1,0.854775,0,23,23,23,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Mosquito_B.wav,1,OLD,,,1,1,0.46409,0,24,24,24,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Cough_A.wav,3,NEW,,,2,1,0.321675,0,25,25,25,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,1,OLD,,,2,0,0.30437,0,26,26,26,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Heartbeat.wav,3,NEW,,,2,1,0.29322,0,27,27,27,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,3,NEW,,,2,1,0.38676,0,28,28,28,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Bird_C.wav,3,NEW,,,2,1,0.437095,0,29,29,29,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Puff_A.wav,3,NEW,,,2,1,0.32302,0,30,30,30,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Faucet_B.wav,2,SIMILAR,,,2,1,0.019785,0,31,31,31,1,,
