VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,Test/Foils/PaperRip.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.557,0,20,20,20,1,,
,,,,,,,,,,,,,,Bird_C.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,1.699,0,21,21,21,1,,
,,,,,,,,,,,,,,Pour_D.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,0,0.824,0,22,22,22,1,,
,,,,,,,,,,,,,,Test/Foils/Camera.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.297,0,23,23,23,1,,
,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,1.341,0,24,24,24,1,,
,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.605,0,25,25,25,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.548,0,26,26,26,1,,
,,,,,,,,,,,,,,Baby_C.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.141,0,27,27,27,1,,
,,,,,,,,,,,,,,Siren_C.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,2.137,0,28,28,28,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.167,0,29,29,29,1,,
,,,,,,,,,,,,,,Piano_C.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.583,0,30,30,30,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.602,0,31,31,31,1,,
,,,,,,,,,,,,,,Pour_C.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,1.207,0,32,32,32,1,,
,,,,,,,,,,,,,,Bird_D.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,0,1.416,0,33,33,33,1,,
,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.986,0,34,34,34,1,,
,,,,,,,,,,,,,,Test/Foils/Buzz.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.466,0,35,35,35,1,,
,,,,,,,,,,,,,,Initial/Doubled/Growl_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.235,0,36,36,36,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,0,2.938,0,37,37,37,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.161,0,38,38,38,1,,
,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.473,0,39,39,39,1,,
,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,1.036,0,40,40,40,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cough_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.869,0,41,41,41,1,,
,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.563,0,42,42,42,1,,
,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,2.026,0,43,43,43,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chomp_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.56,0,44,44,44,1,,
,,,,,,,,,,,,,,Initial/Doubled/CarStart_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.2,0,45,45,45,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.994,0,46,46,46,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.434,0,47,47,47,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,2.908,0,48,48,48,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.002,0,49,49,49,1,,
,,,,,,,,,,,,,,Initial/Doubled/Dog_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.372,0,50,50,50,1,,
,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.722,0,51,51,51,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,0,2.234,0,52,52,52,1,,
,,,,,,,,,,,,,,Laugh_C.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,1.796,0,53,53,53,1,,
,,,,,,,,,,,,,,Cough_D.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.752,0,54,54,54,1,,
,,,,,,,,,,,,,,Test/Foils/Buzz.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.476,0,55,55,55,1,,
,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.467,0,56,56,56,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.079,0,57,57,57,1,,
,,,,,,,,,,,,,,CarStart_D.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,1.419,0,58,58,58,1,,
,,,,,,,,,,,,,,Chomp_B.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.619,0,59,59,59,1,,
,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,0,2.236,0,60,60,60,1,,
,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.808,0,61,61,61,1,,
,,,,,,,,,,,,,,Dog_C.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.728,0,62,62,62,1,,
,,,,,,,,,,,,,,Laugh_D.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,0,9.319,0,63,63,63,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,2.355,0,64,64,64,1,,
,,,,,,,,,,,,,,Cough_C.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,2.895,0,65,65,65,1,,
,,,,,,,,,,,,,,Test/Foils/Heartbeat.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.44,0,66,66,66,1,,
,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,0,2.19,0,67,67,67,1,,
,,,,,,,,,,,,,,CarStart_B.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.43,0,68,68,68,1,,
,,,,,,,,,,,,,,Chomp_C.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.565,0,69,69,69,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Footsteps_B.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.376,0,70,70,70,1,,
,,,,,,,,,,,,,,Test/Foils/Buzz.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.582,0,71,71,71,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Droplet_B.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.532,0,72,72,72,1,,
,,,,,,,,,,,,,,Initial/Doubled/Guitar_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.343,0,73,73,73,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.475,0,74,74,74,1,,
,,,,,,,,,,,,,,Dog_D.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,2,1,2.04,0,75,75,75,1,,
,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,1.691,0,76,76,76,1,,
,,,,,,,,,,,,,,Test/Foils/Bullfrog.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.832,0,77,77,77,1,,
,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.462,0,78,78,78,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.684,0,79,79,79,1,,
,,,,,,,,,,,,,,,,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,space,13.34
