ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate
,,,,,,,3,1,0.95649,0,23,23,23,1,Test/Foils/Camera.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,1.035395,0,24,24,24,1,Initial/Doubled/Writing_A.wav,1,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,2.20716,0,25,25,25,1,Test/Foils/Typing.wav,1,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,1.46148,0,26,26,26,1,Initial/NoRepeat/Snore_B.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,1,0.8563,0,27,27,27,1,Baby_C.wav,2,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,1,2.71526,0,28,28,28,1,Siren_C.wav,2,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,1.44741,0,29,29,29,1,Initial/Doubled/Chime_A.wav,1,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,1,1.343615,0,30,30,30,1,Piano_C.wav,2,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,1.26909,0,31,31,31,1,Initial/NoRepeat/Fireworks.wav,1,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,1,1.236925,0,32,32,32,1,Pour_C.wav,2,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,1,1.302635,0,33,33,33,1,Bird_D.wav,2,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,1.118685,0,34,34,34,1,Initial/Repeat/Airplane_B.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,0.798535,0,35,35,35,1,Test/Foils/Buzz.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
