SoundFiles,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinue.started,VolumeContinue.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,StartTxt.started,StartTxt.stopped,no3.started,no3.stopped,no2.started,no2.stopped,no1.started,no1.stopped,Question.started,Question.stopped,ResponseBox.text,ResponseBox.started,ResponseBox.stopped,SubmitClick.started,SubmitClick.stopped,ClickTheButton.started,ClickTheButton.stopped,SoundItem.started,SoundItem.stopped,ItemNo.started,ItemNo.stopped,Submit.started,Submit.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Test/Foils/Buzz.wav,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.30977859999985,None,73.32288029999472,None,74.3229237999767,None,75.35384300001897,None,"

",75.35384300001897,None,0.008093359880149364,None,75.35384300001897,None,75.33955145990475,None,75.35384300001897,None,75.35384300001897,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Test/Foils/Wind_B.wav,0,13,13,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6372102999594,None,78.63973290007561,None,79.63953400007449,None,80.70081730000675,None,"

",80.70081730000675,None,0.010181420017033815,None,80.70081730000675,None,80.68970912001096,None,80.70081730000675,None,80.70081730000675,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/Doubled/Cat_A.wav,0,14,14,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.15765599999577,None,84.17308340012096,None,85.17291530012153,None,86.1996146000456,None,"

",86.1996146000456,None,6.827991455793381e-05,None,86.1996146000456,None,86.18956155995838,None,86.1996146000456,None,86.1996146000456,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Cough_C.wav,0,15,15,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.57745139999315,None,88.58953030011617,None,89.58937830012292,None,90.60514939995483,None,"

",90.60514939995483,None,0.005027179839089513,None,90.60514939995483,None,90.58944698011037,None,90.60514939995483,None,90.60514939995483,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Test/Foils/Slurp.wav,0,16,16,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.28752869996242,None,93.28954289993271,None,94.28952370001934,None,95.31460870010778,None,"

",95.31460870010778,None,0.014311260310932994,None,95.31460870010778,None,95.30618286007083,None,95.31460870010778,None,95.31460870010778,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/Doubled/Chicken_A.wav,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.96745830005966,None,97.9726811000146,None,98.97271790006198,None,99.99012490012683,None,"

",99.99012490012683,None,0.002533579943701625,None,99.99012490012683,None,99.97275518004317,None,99.99012490012683,None,99.99012490012683,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/Repeat/ManWhistle.wav,0,18,18,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.24831119994633,None,102.25608960003592,None,103.25592519994825,None,104.27582180011086,None,"

",104.27582180011086,None,0.0016843799967318773,None,104.27582180011086,None,104.25599978009704,None,104.27582180011086,None,104.27582180011086,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/Doubled/Growl_A.wav,0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.49271310004406,None,106.50594979990274,None,107.5061123999767,None,108.52910190005787,None,"

",108.52910190005787,None,0.013231860008090734,None,108.52910190005787,None,108.52263226001523,None,108.52910190005787,None,108.52910190005787,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/Doubled/Laugh_A.wav,0,20,20,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3893790000584,None,111.38929590000771,None,112.38925060001202,None,113.41785000008531,None,"

",113.41785000008531,None,0.009421959985047579,None,113.41785000008531,None,113.40601795995607,None,113.41785000008531,None,113.41785000008531,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/Repeat/IceDrop.wav,0,21,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.60020230012015,None,115.60586880007759,None,116.60596049996093,None,117.62840529996902,None,"

",117.62840529996902,None,0.012787360232323408,None,117.62840529996902,None,117.6225612600334,None,117.62840529996902,None,117.62840529996902,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/NoRepeat/Helicopter_A.wav,0,22,22,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.84187599993311,None,120.85481850011274,None,121.85471240011975,None,122.87870249990374,None,"

",122.87870249990374,None,0.00951215997338295,None,122.87870249990374,None,122.87175065991468,None,122.87870249990374,None,122.87870249990374,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/Doubled/Writing_A.wav,0,23,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.15987200010568,None,125.17261640005745,None,126.17253619991243,None,127.20420009992085,None,"

",127.20420009992085,None,0.007637060014531016,None,127.20420009992085,None,127.18915695990435,None,127.20420009992085,None,127.20420009992085,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/NoRepeat/Elephant_A.wav,0,24,24,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.1597603999544,None,130.17240209993906,None,131.1723684000317,None,132.1947596000973,None,"

",132.1947596000973,None,7.98800028860569e-05,None,132.1947596000973,None,132.18935556001964,None,132.1947596000973,None,132.1947596000973,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Test/Foils/PaperRip.wav,0,25,25,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.40223080012947,None,135.4056923999451,None,136.4056428000331,None,137.43233860004693,None,"

",137.43233860004693,None,0.010828960221260786,None,137.43233860004693,None,137.42233156007717,None,137.43233860004693,None,137.43233860004693,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/NoRepeat/Sleighbells_B.wav,0,26,26,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.33000020007603,None,140.3390355000738,None,141.33897850010544,None,142.3650096000638,None,"

",142.3650096000638,None,0.013519459869712591,None,142.3650096000638,None,142.35583815993743,None,142.3650096000638,None,142.3650096000638,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Footsteps_D.wav,0,27,27,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.61432759999298,None,144.62229080009274,None,145.62227430008352,None,146.64057329995558,None,"

",146.64057329995558,None,0.01666215993463993,None,146.64057329995558,None,146.63901455993766,None,146.64057329995558,None,146.64057329995558,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
CarStart_B.wav,0,28,28,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.55198240000755,None,153.55550260003656,None,154.5554826001171,None,155.58378780004568,None,"

",155.58378780004568,None,0.01107945991680026,None,155.58378780004568,None,155.57214246005753,None,155.58378780004568,None,155.58378780004568,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/NoRepeat/Fireworks.wav,0,29,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.47865790012293,None,158.48883050004952,None,159.48867049999535,None,160.5081176001113,None,"

",160.5081176001113,None,0.0017806796822696924,None,160.5081176001113,None,160.48867597996724,None,160.5081176001113,None,160.5081176001113,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Siren_B.wav,0,30,30,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.89509949996136,None,162.9054726001341,None,163.90528400009498,None,164.92485680012032,None,"

",164.92485680012032,None,0.000607979716733098,None,164.92485680012032,None,164.90544077993837,None,164.92485680012032,None,164.92485680012032,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Pour_B.wav,0,31,31,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.65209350013174,None,167.65541650005616,None,168.65790860005654,None,169.69268939993344,None,"

",169.69268939993344,None,0.01625216007232666,None,169.69268939993344,None,169.6887571598869,None,169.69268939993344,None,169.69268939993344,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Siren_C.wav,0,32,32,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.19198060012423,None,173.20527769997716,None,174.20546020008624,None,175.22506979992613,None,"

",175.22506979992613,None,0.0017554799560457468,None,175.22506979992613,None,175.20530908002985,None,175.22506979992613,None,175.22506979992613,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/Repeat/Airplane_B.wav,0,33,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.50218329997733,None,177.50525879999623,None,178.5052352999337,None,179.55425869999453,None,"

",179.55425869999453,None,0.006809539860114455,None,179.55425869999453,None,179.53857023988385,None,179.55425869999453,None,179.55425869999453,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
