File,Correct,SoundFile5,Correct2,Type,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,1,Initial/Doubled/Clap_A.wav,1,OLD,,,,,,,,,0,88,88,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.6651604999788,None,502.1810930000386,None,502.17757329996675,None,502.17757329996675,None,504.6812925999984,None,1,1,0.5573973000282422,504.6812925999984,None,,001,2021_Feb_17_2306,GuessTheSound,2020.2.10,60.033558749298415,
,2,Dog_D.wav,2,SIMILAR,,,,,,,,,0,89,89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.2642814000137,None,506.78095099998177,None,506.7768088999437,None,506.7768088999437,None,508.7979085999541,None,2,1,1.0008694999851286,508.7979085999541,None,,001,2021_Feb_17_2306,GuessTheSound,2020.2.10,60.033558749298415,
,1,Initial/NoRepeat/Fireworks.wav,1,OLD,,,,,,,,,0,90,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.815128599992,None,511.33089789997325,None,511.32749159995,None,511.32749159995,None,514.2980682000052,None,1,1,0.41336250002495944,514.2980682000052,None,,001,2021_Feb_17_2306,GuessTheSound,2020.2.10,60.033558749298415,
,2,Test/Foils/Camera.wav,3,NEW,,,,,,,,,0,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.7316760999383,None,516.2641787000001,None,516.2728280000156,None,516.2728280000156,None,517.2479136999464,None,2,1,1.5217924999305978,517.2479136999464,None,,001,2021_Feb_17_2306,GuessTheSound,2020.2.10,60.033558749298415,
,2,Piano_B.wav,3,NEW,,,,,,,,,0,92,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.7976769999368,None,520.3141725999769,None,520.3227782000322,None,520.3227782000322,None,522.9810881000012,None,2,1,0.5780435000779107,522.9810881000012,None,,001,2021_Feb_17_2306,GuessTheSound,2020.2.10,60.033558749298415,
,2,Initial/Repeat/PaperRip.wav,3,NEW,,,,,,,,,0,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.581822099979,None,525.097518999991,None,525.1023001000285,None,525.1023001000285,None,526.6976151999552,None,2,1,0.580304800067097,526.6976151999552,None,,001,2021_Feb_17_2306,GuessTheSound,2020.2.10,60.033558749298415,
,2,Initial/NoRepeat/Droplet_B.wav,3,NEW,,,,,,,,,0,94,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.2985888000112,None,528.831143799983,None,528.8346141999355,None,528.8346141999355,None,530.9979072000133,None,2,1,0.5095436000265181,530.9979072000133,None,,001,2021_Feb_17_2306,GuessTheSound,2020.2.10,60.033558749298415,
,1,Initial/NoRepeat/Helicopter_A.wav,1,OLD,,,,,,,,,0,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.5324359999504,None,533.0473311000038,None,533.0547643000027,None,533.0547643000027,None,535.5145267000189,None,1,1,0.35729740001261234,535.5145267000189,None,,001,2021_Feb_17_2306,GuessTheSound,2020.2.10,60.033558749298415,
,2,CarStart_D.wav,3,NEW,,,,,,,,,0,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.8972825999372,None,537.4141534000403,None,537.4244126999984,None,537.4244126999984,None,540.4810509999515,None,2,1,0.3556530000641942,540.4810509999515,None,,001,2021_Feb_17_2306,GuessTheSound,2020.2.10,60.033558749298415,
,1,Initial/Repeat/Howl.wav,1,OLD,,,,,,,,,0,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.8637852999382,None,542.3806744999486,None,542.3779705000343,None,542.3779705000343,None,545.130839999998,None,1,1,0.4625636999262497,545.130839999998,None,,001,2021_Feb_17_2306,GuessTheSound,2020.2.10,60.033558749298415,
