VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneTrials.thisRepN,HeadphoneTrials.thisTrialN,HeadphoneTrials.thisN,HeadphoneTrials.thisIndex,HeadphoneTrials.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0.64557,space,1.09108,2,1,1.4335,0,0,0,3,1,Headphone/t2_2.wav,2,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.41935,0,1,1,1,1,Headphone/t1_2.wav,1,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,0.686125,0,2,2,0,1,Headphone/t1_1.wav,1,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.466375,0,3,3,4,1,Headphone/t3_1.wav,3,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.005625,0,4,4,5,1,Headphone/t3_2.wav,3,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,0.619665,0,5,5,2,1,Headphone/t2_1.wav,2,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,space,1.53724,space,0.470795,space,0.50249,3,1,3.27191,0,0,0,0,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.997455,0,1,1,1,1,Practice/Skid_B.wav,,,,,,,,,,
,,,,,,,,,,,,,1,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.639685,0,2,2,2,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,2.725,0,3,3,3,1,Practice/Gargle_A.wav,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.65021,0,4,4,4,1,Practice/Gargle_B.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,space,2.54224,3,1,2.08399,0,0,0,0,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h17.47.667,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,,,3,1,0.311225,0,1,1,1,1
