VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,,,3,1,0.39024,0,11,11,11,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,,,3,1,0.325825,0,12,12,12,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,,,3,1,0.35132,0,13,13,13,1
,,,,,,,,,,,,,1,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,3,0,0.28512,0,14,14,14,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,,,3,1,0.41101,0,15,15,15,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,,,3,1,0.387655,0,16,16,16,1
,,,,,,,,,,,,,2,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Baby_A.wav,,,3,0,0.373695,0,17,17,17,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,,,3,1,0.30094,0,18,18,18,1
,,,,,,,,,,,,,2,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_B.wav,,,3,0,0.473145,0,19,19,19,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,,,3,1,0.692585,0,20,20,20,1
,,,,,,,,,,,,,2,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_C.wav,,,2,1,0.68522,0,21,21,21,1
,,,,,,,,,,,,,2,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Pour_D.wav,,,2,1,0.6012,0,22,22,22,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Camera.wav,,,3,1,0.66914,0,23,23,23,1
,,,,,,,,,,,,,1,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,,,3,0,0.353815,0,24,24,24,1
