WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate
space,9.66359,space,11.781275,toilet,0,0,0,23,1,Initial/NoRepeat/Toilet_B.wav,NoRepeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,1,1,39,1,Initial/NoRepeat/Thunder_A.wav,NoRepeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,2,2,83,1,Initial/Doubled/Chomp_A.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,3,3,87,1,Initial/Repeat/Crow_B.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,4,4,1,1,Initial/Doubled/Chicken_A.wav,Doubled,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,5,5,47,1,Initial/Repeat/Cup.wav,Repeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,6,6,43,1,Initial/Repeat/Cello.wav,Repeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,7,7,41,1,Initial/Repeat/Bat.wav,Repeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,8,8,53,1,Initial/Repeat/Pingpong.wav,Repeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,9,9,62,1,Test/Foils/Bird.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,10,10,77,1,Test/Foils/Typing.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,11,11,65,1,Test/Foils/Bullfrog.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,12,12,82,1,Initial/Doubled/Cat_A.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,13,13,27,1,Initial/NoRepeat/Faucet_A.wav,NoRepeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,14,14,75,1,Test/Foils/Robot.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,15,15,74,1,Test/Foils/PartyHorn.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,16,16,70,1,Test/Foils/Harmonica.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,17,17,69,1,Test/Foils/Gallop.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,18,18,61,1,Test/Foils/Axe.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,19,19,96,1,Initial/NoRepeat/Rooster_B.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,20,20,48,1,Initial/Repeat/Howl.wav,Repeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,21,21,16,1,Initial/Doubled/Owl_A.wav,Doubled,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,22,22,7,1,Initial/Doubled/Dog_A.wav,Doubled,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,23,23,98,1,Initial/Doubled/Train_A.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
