VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,4.42097,space,6.93307,1,1,1.66815,0,0,0,1,1,Headphone/t1_2.wav,1,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.64485,0,1,1,5,1,Headphone/t3_2.wav,3,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.30746,0,2,2,3,1,Headphone/t2_2.wav,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.29454,0,3,3,4,1,Headphone/t3_1.wav,3,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.30235,0,4,4,0,1,Headphone/t1_1.wav,1,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.335585,0,5,5,2,1,Headphone/t2_1.wav,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,space,12.351665,space,14.06239,space,4.431075,3,1,3.18342,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,3.286135,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,1.05361,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.639965,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.760805,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,NEW,space,6.22035,3,1,1.02528,0,0,0,0,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,,,3,1,0.61114,0,1,1,1,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,,,3,1,0.550935,0,2,2,2,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,,,3,1,0.476505,0,3,3,3,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,NEW,,,3,1,0.521155,0,4,4,4,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,NEW,,,3,1,0.512715,0,5,5,5,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,,,3,1,0.521395,0,6,6,6,1,,
,,,,,,,,,,,,,1,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,1,OLD,,,1,1,1.964285,0,7,7,7,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,3,NEW,,,3,1,0.628215,0,8,8,8,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,NEW,,,3,1,0.46784,0,9,9,9,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Mosquito_B.wav,3,NEW,,,3,1,0.963195,0,10,10,10,1,,
,,,,,,,,,,,,,1,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,OLD,,,2,0,0.86563,0,11,11,11,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,2,SIMILAR,,,1,0,0.66394,0,12,12,12,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,NEW,,,3,1,2.070325,0,13,13,13,1,,
,,,,,,,,,,,,,2,5ff983115395ad2863c18b91,001,2021-02-19_16h03.00.178,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Elephant_B.wav,2,SIMILAR,,,1,0,3.95245,0,14,14,14,1,,
