File,Correct,SoundFile5,Type,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,8.896017999970354,None,8.896017999970354,None,12.01999070000602,None,space,0.7889525999780744,12.01999070000602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1927,GuessTheSound,2020.2.10,59.98152568209,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.853910299949348,None,12.853246699960437,None,12.853910299949348,None,13.386343599995598,None,13.386343599995598,None,space,1.0041897000046447,13.386343599995598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1927,GuessTheSound,2020.2.10,59.98152568209,
Headphone/t3_2.wav,3,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45308464995469,None,18.986006299965084,None,14.459002099989448,19.002540699962992,14.459002099989448,19.002540699962992,2,0,1.1401315999682993,18.986006299965084,None,20.178193199972156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1927,GuessTheSound,2020.2.10,59.98152568209,
Headphone/t1_2.wav,1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.186012199963443,None,25.70274509995943,None,21.18122209998546,25.719520399987232,21.18122209998546,25.719520399987232,3,0,0.20324319996871054,25.70274509995943,None,25.935389199992642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1927,GuessTheSound,2020.2.10,59.98152568209,
Headphone/t1_1.wav,1,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.93545884997002,None,31.469329899991862,None,26.936352899996564,31.48570939997444,26.936352899996564,31.48570939997444,1,1,0.8565131000359543,31.469329899991862,None,32.353206900006626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1927,GuessTheSound,2020.2.10,59.98152568209,
Headphone/t2_1.wav,2,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36883854996995,None,37.88577140000416,None,33.36873489996651,37.90233289997559,33.36873489996651,37.90233289997559,3,0,0.4101797000039369,37.88577140000416,None,38.31877929996699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1927,GuessTheSound,2020.2.10,59.98152568209,
Headphone/t2_2.wav,2,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.31866614994942,None,43.851057399995625,None,39.31871099997079,43.86803209997015,39.31871099997079,43.86803209997015,3,0,0.38773800001945347,43.851057399995625,None,44.26792630000273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1927,GuessTheSound,2020.2.10,59.98152568209,
Headphone/t3_1.wav,3,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.26802324995515,None,49.78588649997255,None,45.26787489996059,49.802096999948844,45.26787489996059,49.802096999948844,2,0,0.30765449994942173,49.78588649997255,None,50.11862209998071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1927,GuessTheSound,2020.2.10,59.98152568209,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.119765599956736,None,51.119765599956736,None,space,2.92695900000399,51.119765599956736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1927,GuessTheSound,2020.2.10,59.98152568209,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0694961999543,None,54.0694961999543,None,space,0.6331183000002056,54.0694961999543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1927,GuessTheSound,2020.2.10,59.98152568209,
