VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,Correct2,Type,Trial
space,0.451995,space,0.566555,3,1,3.26186,0,0,0,5,1,Headphone/t3_2.wav,3,,001,2021-03-08_10h13.42.162,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,2,0,1.161685,0,1,1,4,1,Headphone/t3_1.wav,3,,001,2021-03-08_10h13.42.162,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,2,1,0.303835,0,2,2,2,1,Headphone/t2_1.wav,2,,001,2021-03-08_10h13.42.162,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,1,1,0.603555,0,3,3,0,1,Headphone/t1_1.wav,1,,001,2021-03-08_10h13.42.162,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,2,0,0.527745,0,4,4,1,1,Headphone/t1_2.wav,1,,001,2021-03-08_10h13.42.162,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,1,0,0.26736,0,5,5,3,1,Headphone/t2_2.wav,2,,001,2021-03-08_10h13.42.162,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-03-08_10h13.42.162,GuessTheSound,2020.2.10,Win32,60,space,1.284615,space,0.626535,space,1.9089,2,0,0.596815,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,Practice
,,,,,,,,,,,,,2,,001,2021-03-08_10h13.42.162,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,0,3.985435,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,Practice
