SoundFiles3,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinue.started,VolumeContinue.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,StartTxt.started,StartTxt.stopped,no3.started,no3.stopped,no1.started,no1.stopped,Question.started,Question.stopped,ResponseBox.text,ResponseBox.started,ResponseBox.stopped,SubmitClick.started,SubmitClick.stopped,ClickTheButton.started,ClickTheButton.stopped,SoundItem.started,SoundItem.stopped,ItemNo.started,ItemNo.stopped,Submit.started,Submit.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,ThankyouMssg.started,ThankyouMssg.stopped,CompletionCode.started,CompletionCode.stopped,ExitTxt.started,ExitTxt.stopped,ExitKey.keys,ExitKey.rt,ExitKey.started,ExitKey.stopped,CodeTxt.started,CodeTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Cough_C.wav,2,0,65,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.90144819999114,None,465.91479349997826,None,466.9401771000121,None,"

 ",466.9401771000121,None,0.010602479800581932,None,466.9401771000121,None,466.9314930799883,None,466.9401771000121,None,466.9401771000121,None,space,2.980257999850437,466.9401771000121,None,469.95312529988587,None,2,1,1.883580100024119,469.95312529988587,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Test/Foils/Heartbeat.wav,3,0,66,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.86686129984446,None,472.8662264999002,None,473.91528039984405,None,"

 ",473.91528039984405,None,0.001714420272037387,None,473.91528039984405,None,473.8997084200382,None,473.91528039984405,None,473.91528039984405,None,space,4.16004620003514,473.91528039984405,None,478.1163581998553,None,3,1,1.4749809999484569,478.1163581998553,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Test/Foils/Wind_B.wav,1,0,67,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.6187658999115,None,480.6326649999246,None,481.6565536998678,None,"

 ",481.6565536998678,None,0.01565257995389402,None,481.6565536998678,None,481.64924068003893,None,481.6565536998678,None,481.6565536998678,None,space,3.17406260012649,481.6565536998678,None,484.85942299989983,None,1,1,1.4856763000134379,484.85942299989983,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Carstart_B.wav,2,0,68,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.3679349999875,None,487.3825298999436,None,488.4083447000012,None,"

  ",488.4083447000012,None,0.014118980150669813,None,488.4083447000012,None,488.40013577998616,None,488.4083447000012,None,488.4083447000012,None,space,4.804132900200784,488.4083447000012,None,493.24096719990484,None,2,1,0.7481972000095993,493.24096719990484,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Chomp_C.wav,2,0,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.0157373000402,None,495.01608449989,None,496.0509066998493,None,"

 ",496.0509066998493,None,0.0041289799846708775,None,496.0509066998493,None,496.03273668000475,None,496.0509066998493,None,496.0509066998493,None,space,2.960111199878156,496.0509066998493,None,499.0461933000479,None,2,1,1.282079900149256,499.0461933000479,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Initial/NoRepeat/Footsteps_B.wav,3,0,70,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.3501391999889,None,501.3658439000137,None,502.42410509986803,None,"

 ",502.42410509986803,None,0.015531660290434957,None,502.42410509986803,None,502.4159078600351,None,502.42410509986803,None,502.42410509986803,None,space,2.8147291000932455,502.42410509986803,None,505.2705725999549,None,3,1,0.8343918998725712,505.2705725999549,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Test/Foils/Buzz.wav,1,0,71,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.1323750000447,None,507.132406800054,None,508.1576366999652,None,"

 ",508.1576366999652,None,0.014597979839891195,None,508.1576366999652,None,508.1490722799208,None,508.1576366999652,None,508.1576366999652,None,space,2.639158000005409,508.1576366999652,None,510.83642169996165,None,1,1,2.007315000053495,510.83642169996165,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Initial/NoRepeat/Droplet_B.wav,3,0,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.8664509998634,None,513.8657308998518,None,514.9209990999661,None,"

 ",514.9209990999661,None,0.011978360125795007,None,514.9209990999661,None,514.9155927600805,None,514.9209990999661,None,514.9209990999661,None,space,4.481612500036135,514.9209990999661,None,519.443611699855,None,3,1,1.5888420001138002,519.443611699855,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Initial/Doubled/Guitar_A.wav,3,0,73,73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.0508709999267,None,522.0655652000569,None,523.1245728998911,None,"

 ",523.1245728998911,None,0.014174059964716434,None,523.1245728998911,None,523.1155153599102,None,523.1245728998911,None,523.1245728998911,None,space,2.385210799984634,523.1245728998911,None,525.5497929998673,None,3,1,0.8961855999659747,525.5497929998673,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Initial/NoRepeat/Toilet_B.wav,1,0,74,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.4663207000121,None,527.480908999918,None,528.5023423999082,None,"

 ",528.5023423999082,None,0.0004348400980234146,None,528.5023423999082,None,528.4816918398719,None,528.5023423999082,None,528.5023423999082,None,space,2.5518977001775056,528.5023423999082,None,531.0800747999456,None,1,1,4.806407900061458,531.0800747999456,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Dog_D.wav,2,0,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.9153940000106,None,536.9155245998409,None,537.9480454998557,None,"

 ",537.9480454998557,None,0.0047348798252642155,None,537.9480454998557,None,537.9321896799374,None,537.9480454998557,None,537.9480454998557,None,space,2.6398438999895006,537.9480454998557,None,540.6152460000012,None,2,1,1.9106354999821633,540.6152460000012,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Initial/Doubled/Clap_A.wav,1,0,76,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.5511566998903,None,543.5654585999437,None,544.5891145998612,None,"

 ",544.5891145998612,None,0.0003865400794893503,None,544.5891145998612,None,544.565474039875,None,544.5891145998612,None,544.5891145998612,None,space,3.8807109999470413,544.5891145998612,None,548.5075357998721,None,1,1,1.8248108001425862,548.5075357998721,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Test/Foils/Bullfrog.wav,3,0,77,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.3516323999502,None,551.3653096000198,None,552.4312857999466,None,"

 ",552.4312857999466,None,0.008265760028734803,None,552.4312857999466,None,552.415420060046,None,552.4312857999466,None,552.4312857999466,None,space,3.5003183998633176,552.4312857999466,None,555.9575773000252,None,1,0,1.9880884001031518,555.9575773000252,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Test/Foils/Wind_B.wav,1,0,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.9677907000296,None,558.9818845000118,None,560.002013299847,None,"

 ",560.002013299847,None,0.016577780013903975,None,560.002013299847,None,559.9985700799152,None,560.002013299847,None,560.002013299847,None,space,2.6444641000125557,560.002013299847,None,562.6657539000735,None,1,1,1.0024842999409884,562.6657539000735,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
Initial/NoRepeat/Helicopter_A.wav,1,0,79,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.6984502000269,None,564.6984878999647,None,565.7197731998749,None,"

 ",565.7197731998749,None,0.014285079902037978,None,565.7197731998749,None,565.7151325799059,None,565.7197731998749,None,565.7197731998749,None,space,4.690252299886197,565.7197731998749,None,570.4499881998636,None,1,1,0.8749186999630183,570.4499881998636,None,,,,,,,,,,,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.3643936000299,None,571.3643936000299,None,571.3643936000299,None,space,2.4576315998565406,571.3643936000299,None,,,,001,2021_Jan_07_1540,GuessTheSound,2020.2.10,59.9618522164805,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.3643936000299,None,,,,,,,
