SoundFile5,Correct,Correct2,Type,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Baby_A.wav,2,2,SIMILAR,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.71357739996165,None,161.24452973993027,None,161.25412159995176,None,161.25412159995176,None,163.56171909999102,None,2,1,1.343649800051935,163.56171909999102,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Initial/Doubled/Writing_A.wav,1,1,OLD,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.92865989997517,None,166.44576613998504,None,166.4410495000193,None,166.4410495000193,None,168.74624300003052,None,1,1,0.3811702999519184,168.74624300003052,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Initial/Doubled/Cough_A.wav,2,3,NEW,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.14678920002189,None,170.67873864001592,None,170.6764516000403,None,170.6764516000403,None,172.37968160002492,None,3,1,0.3583240000298247,172.37968160002492,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Test/Foils/DialTone.wav,1,1,OLD,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.76369940000586,None,174.27874061999609,None,174.28533600002993,None,174.28533600002993,None,176.59624430001713,None,1,1,0.27019329997710884,176.59624430001713,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Test/Lures/Guitar_B.wav,2,3,NEW,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.8950482000364,None,178.41229773997327,None,178.41896409995388,None,178.41896409995388,None,180.72949249995872,None,3,1,0.24494060000870377,180.72949249995872,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Chime_C.wav,2,2,SIMILAR,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.9952353000408,None,182.5120762400096,None,182.5111520999344,None,182.5111520999344,None,184.8127097999677,None,2,1,0.5350116000045091,184.8127097999677,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Initial/Repeat/IceDrop.wav,2,3,NEW,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.36265369993635,None,186.87864453995132,None,186.87389169994276,None,186.87389169994276,None,189.179258499993,None,3,1,0.3934673999901861,189.179258499993,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Test/Foils/Typing.wav,1,1,OLD,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.59590610000305,None,191.11209864004047,None,191.1052239999408,None,191.1052239999408,None,193.4127447999781,None,1,1,0.4295949999941513,193.4127447999781,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Bird_C.wav,2,3,NEW,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.8633629999822,None,195.37871021997415,None,195.38732360000722,None,195.38732360000722,None,197.12936230003834,None,3,1,0.39936249994207174,197.12936230003834,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Initial/NoRepeat/Thunder_A.wav,1,1,OLD,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.54695819993503,None,199.0621460199938,None,199.06885929999407,None,199.06885929999407,None,201.3791932000313,None,1,1,0.04172769992146641,201.3791932000313,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
