SoundFiles3,Correct,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinue.started,VolumeContinue.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no3.started,no3.stopped,no2.started,no2.stopped,no1.started,no1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,16.49123760004295,None,16.49123760004295,None,17.424390800006222,None,17.424390800006222,None,space,0.5584294000291266,17.424390800006222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1310,GuessTheSound,2020.2.10,59.987750498859825,
,,,,,,,,,,,,,,,,,,,,,,18.05646870000055,None,18.05413084003376,None,18.05646870000055,None,18.621246800001245,None,18.621246800001245,None,space,0.8054195999866351,18.621246800001245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1310,GuessTheSound,2020.2.10,59.987750498859825,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.455652100034058,None,19.455652100034058,None,space,0.9917416999815032,19.455652100034058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1310,GuessTheSound,2020.2.10,59.987750498859825,
Practice/Seagull_A.wav,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.72945330000948,None,20.720560460025446,None,20.72945330000948,None,3,1,1.8605019999668002,23.033436300000176,None,23.033436300000176,None,23.033436300000176,None,23.033436300000176,None,23.033436300000176,None,,,,,,,,,,,,,,,,001,2021_Jan_17_1310,GuessTheSound,2020.2.10,59.987750498859825,
Practice/Skid_B.wav,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.930754800036084,27.036283800029196,24.936992420046593,None,24.930754800036084,27.036283800029196,3,1,1.1965376999578439,27.053435900015756,None,27.053435900015756,None,27.053435900015756,None,27.053435900015756,None,27.053435900015756,None,,,,,,,,,,,,,,,,001,2021_Jan_17_1310,GuessTheSound,2020.2.10,59.987750498859825,
Practice/Seagull_A.wav,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.28998750000028,None,28.287244720023594,None,28.28998750000028,None,1,1,0.852896700031124,30.578931600030046,None,30.578931600030046,None,30.578931600030046,None,30.578931600030046,None,30.578931600030046,None,,,,,,,,,,,,,,,,001,2021_Jan_17_1310,GuessTheSound,2020.2.10,59.987750498859825,
Practice/Gargle_A.wav,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.49857019999763,None,31.487401130009676,None,31.49857019999763,None,3,1,1.4704760999884456,33.79550740000559,None,33.79550740000559,None,33.79550740000559,None,33.79550740000559,None,33.79550740000559,None,,,,,,,,,,,,,,,,001,2021_Jan_17_1310,GuessTheSound,2020.2.10,59.987750498859825,
Practice/Gargle_B.wav,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.33408070000587,None,35.337228640017564,None,35.33408070000587,None,2,1,1.2149940999806859,37.41992790001677,None,37.41992790001677,None,37.41992790001677,None,37.41992790001677,None,37.41992790001677,None,,,,,,,,,,,,,,,,001,2021_Jan_17_1310,GuessTheSound,2020.2.10,59.987750498859825,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6582259000279,None,space,1.545062399993185,38.6582259000279,None,,,,,,,,,,001,2021_Jan_17_1310,GuessTheSound,2020.2.10,59.987750498859825,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6582259000279,None,40.27267550001852,None,40.736740400025155,None,41.23678740003379,None,,,,,,,
