File,Correct,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,SoundFile5,Type,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,16.353274399996735,None,16.353274399996735,None,22.106939300021622,None,space,0.6308240999933332,22.106939300021622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
,,,,,,,,,,,,,,,,,,,,,,22.826897700026166,None,22.818631920008922,None,22.826897700026166,None,23.342286200029776,None,23.342286200029776,None,space,0.4510383000015281,23.342286200029776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
Headphone/t2_1.wav,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.986769879987698,None,28.5353327000048,None,23.99778580002021,28.5353327000048,23.99778580002021,28.5353327000048,2,1,0.3541027999599464,28.5353327000048,None,28.927773600036744,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
Headphone/t1_2.wav,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96684604002512,None,34.50024329998996,None,29.977099600015208,34.51709330000449,29.977099600015208,34.51709330000449,2,0,0.6174307999899611,34.50024329998996,None,35.16639580001356,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
Headphone/t3_1.wav,3,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.23326470001484,None,40.75027920003049,None,36.231352400034666,40.7667427000124,36.231352400034666,40.7667427000124,1,0,0.1692124999826774,40.75027920003049,None,40.950344900018536,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
Headphone/t3_2.wav,3,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.01647330002743,None,46.53351720003411,None,42.01328830001876,46.550249800027814,42.01328830001876,46.550249800027814,3,1,0.21227020001970232,46.53351720003411,None,46.78009680000832,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
Headphone/t2_2.wav,2,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8332950200187,None,52.36696910002502,None,47.83986890001688,52.383520300034434,47.83986890001688,52.383520300034434,3,0,0.3365165999857709,52.36696910002502,None,52.749972100020386,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
Headphone/t1_1.wav,1,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.79999622001778,None,58.333770300028846,None,53.80828619998647,58.35007789998781,53.80828619998647,58.35007789998781,2,0,0.5013504000380635,58.333770300028846,None,58.85198770003626,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.868056699982844,None,59.868056699982844,None,space,43.810072399966884,59.868056699982844,None,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.70717970002443,None,103.70717970002443,None,space,13.363183400011621,103.70717970002443,None,,,,,,,,,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.10727430001134,None,117.10727430001134,None,space,3.5172954000299796,117.10727430001134,None,,001,2021_Feb_14_1752,GuessTheSound,2020.2.10,60.01842565723753,
