VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,14.925245,space,12.310045,2,0,6.172355,0,0,0,5,1,Headphone/t3_2.wav,3,5de4280370c53a011839950f,001,2021-02-22_19h55.21.578,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,2.01067,0,1,1,4,1,Headphone/t3_1.wav,3,5de4280370c53a011839950f,001,2021-02-22_19h55.21.578,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,1.39179,0,2,2,0,1,Headphone/t1_1.wav,1,5de4280370c53a011839950f,001,2021-02-22_19h55.21.578,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,1.7766,0,3,3,2,1,Headphone/t2_1.wav,2,5de4280370c53a011839950f,001,2021-02-22_19h55.21.578,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,0.712415,0,4,4,1,1,Headphone/t1_2.wav,1,5de4280370c53a011839950f,001,2021-02-22_19h55.21.578,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,0.28115,0,5,5,3,1,Headphone/t2_2.wav,2,5de4280370c53a011839950f,001,2021-02-22_19h55.21.578,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5de4280370c53a011839950f,001,2021-02-22_19h55.21.578,GuessTheSound,2020.2.10,Win32,60,space,5.4789,space,14.5494,space,3.040085,3,1,5.99668,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5de4280370c53a011839950f,001,2021-02-22_19h55.21.578,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.575025,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5de4280370c53a011839950f,001,2021-02-22_19h55.21.578,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,1.517555,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5de4280370c53a011839950f,001,2021-02-22_19h55.21.578,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.477475,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
