SoundFile,Correct,Correct2,Type,Trial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Initial/Repeat/PaperRip.wav,1,1,OLD,B,0,115,115,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.93956759991124,None,513.4548443999141,None,513.4632085999474,None,513.4632085999474,None,515.0555477999151,None,3,0,0.6402157000266016,515.0555477999151,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Initial/Repeat/Sneeze_B.wav,1,1,OLD,B,0,116,116,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.7233688998967,None,517.238359999936,None,517.2450907998718,None,517.2450907998718,None,518.4702883998398,None,3,0,0.821522600017488,518.4702883998398,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Pour_E.wav,2,3,NEW,B,0,117,117,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.3242252999917,None,520.8535056998487,None,520.8554610998835,None,520.8554610998835,None,523.0715411999263,None,3,1,0.44290639995597303,523.0715411999263,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Initial/Doubled/Cat_A.wav,1,1,OLD,B,0,118,118,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.5376232999843,None,525.0379862998146,None,525.0385134997778,None,525.0385134997778,None,526.4554355998989,None,3,0,0.3370640000794083,526.4554355998989,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Test/Foils/Slurp.wav,1,1,OLD,B,0,119,119,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.8251684999559,None,528.3381340998225,None,528.3475326998159,None,528.3475326998159,None,530.5722671998665,None,3,0,0.3285494998563081,530.5722671998665,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Test/Foils/Bullfrog.wav,1,1,OLD,B,0,120,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.9213610999286,None,532.4379424999468,None,532.4323517999146,None,532.4323517999146,None,534.6554436997976,None,3,0,0.5600020000711083,534.6554436997976,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Test/Foils/Wind_B.wav,1,1,OLD,B,0,121,121,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.2387389999349,None,536.7545171000063,None,536.7479730998166,None,536.7479730998166,None,538.9722085997928,None,3,0,0.21938530006445944,538.9722085997928,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Duck_D.wav,2,2,SIMILAR,B,0,122,122,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.2240817998536,None,540.7544601999223,None,540.7590732998215,None,540.7590732998215,None,542.9719444999937,None,3,0,0.6702507000882179,542.9719444999937,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Test/Foils/DialTone.wav,1,1,OLD,B,0,123,123,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.6749406999443,None,545.1879323998932,None,545.1987138998229,None,545.1987138998229,None,547.4221090998035,None,3,0,0.6053486000746489,547.4221090998035,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Initial/Repeat/Buzz.wav,1,1,OLD,B,0,124,124,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.0562372999266,None,549.5711693999823,None,549.5802667997777,None,549.5802667997777,None,551.8054183998611,None,3,0,0.3318245999980718,551.8054183998611,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Pour_C.wav,2,2,SIMILAR,B,0,125,125,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.1560246997979,None,553.6877610999625,None,553.6911084000021,None,553.6911084000021,None,555.9054791999515,None,2,1,0.4342355001717806,555.9054791999515,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
Test/Foils/Typing.wav,1,1,OLD,B,0,126,126,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.3577141999267,None,557.8712112999987,None,557.8804800999351,None,557.8804800999351,None,560.105450999923,None,3,0,0.3640289001632482,560.105450999923,None,,001,2021_Mar_01_2138,GuessTheSound,2020.2.10,60.08824558388115,
