SoundFile5,Correct,Correct2,Type,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Test/Foils/Typing.wav,1,1,OLD,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.97218869999051,None,94.4721329700551,None,94.4805583000416,None,94.4805583000416,None,96.78910539997742,None,1,1,0.3801046999869868,96.78910539997742,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Initial/Doubled/Chime_A.wav,2,2,SIMILAR,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.18962530000135,None,98.7390870800009,None,98.7429272000445,None,98.7429272000445,None,101.05599480005912,None,2,1,0.7642750999657437,101.05599480005912,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Test/Foils/DialTone.wav,1,1,OLD,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.83987519994844,None,103.35541317000752,None,103.36326330003794,None,103.36326330003794,None,105.67248209996615,None,2,0,0.23123200004920363,105.67248209996615,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Initial/Doubled/Writing_A.wav,2,3,NEW,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.92479560000356,None,107.47227991005639,None,107.48190999997314,None,107.48190999997314,None,109.78910589998122,None,2,1,0.04715070000384003,109.78910589998122,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Initial/NoRepeat/Faucet_A.wav,2,3,NEW,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.8555662999861,None,111.38860970997484,None,111.39510039996821,None,111.39510039996821,None,113.70608449995052,None,2,1,0.4326166999526322,113.70608449995052,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Initial/NoRepeat/Toilet_B.wav,1,1,OLD,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.15546439995524,None,115.67213833995629,None,115.66542410000693,None,115.66542410000693,None,117.97244969999883,None,1,1,0.24502180004492402,117.97244969999883,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Pour_C.wav,2,2,SIMILAR,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.23855510004796,None,119.7554140399443,None,119.75940900004935,None,119.75940900004935,None,122.07236430002376,None,2,1,1.34904010000173,122.07236430002376,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Laugh_C.wav,2,3,NEW,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.43852309999056,None,124.95541384001262,None,124.9615859000478,None,124.9615859000478,None,127.27238480001688,None,2,1,0.7433669000165537,127.27238480001688,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Initial/NoRepeat/Sleighbells_B.wav,1,1,OLD,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.03951160004362,None,129.55538534000516,None,129.55032679997385,None,129.55032679997385,None,131.85546260001138,None,2,0,1.0940159999299794,131.85546260001138,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Initial/Doubled/Bubbles_A.wav,1,1,OLD,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.97188840003219,None,134.48880364000797,None,134.48499509994872,None,134.48499509994872,None,136.78884709998965,None,2,0,0.8332295001018792,136.78884709998965,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
