SoundFiles3,Correct,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Question.started,Question.stopped,ResponseBox.text,ResponseBox.started,ResponseBox.stopped,SubmitClick.started,SubmitClick.stopped,ClickTheButton.started,ClickTheButton.stopped,SoundItem.started,SoundItem.stopped,Submit.started,Submit.stopped,TargetSound.started,TargetSound.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Initial/Doubled/Coin_A.wav,3,0,0,0,0,7.845680900034495,None,"

  ",7.845680900034495,None,0.0034220999805256724,None,7.845680900034495,None,7.8047851000737865,None,7.845680900034495,None,12.84052098004613,None,13.972329400014132,None,3,1,1.2537145999958739,13.972329400014132,None,,001,2021_Jan_17_1336,GuessTheSound,2020.2.10,59.83026153713611,
Initial/Repeat/ManWhistle.wav,3,0,1,1,1,15.28001620003488,None,"

",15.28001620003488,None,0.009559940022882074,None,15.28001620003488,None,15.278590640012407,None,15.28001620003488,None,17.345783040003152,None,18.488981700036675,None,3,1,1.0700304000056349,18.488981700036675,None,,001,2021_Jan_17_1336,GuessTheSound,2020.2.10,59.83026153713611,
