VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial
space,9.5192,space,37.51337,3,1,3.347555,0,0,0,4,1,Headphone/t3_1.wav,3,5f740f60b8a1e41acc020269,2021-03-19_20h32.49.960,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.963195,0,1,1,1,1,Headphone/t1_2.wav,1,5f740f60b8a1e41acc020269,2021-03-19_20h32.49.960,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,
,,,,3,1,1.65094,0,2,2,5,1,Headphone/t3_2.wav,3,5f740f60b8a1e41acc020269,2021-03-19_20h32.49.960,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.4836,0,3,3,3,1,Headphone/t2_2.wav,2,5f740f60b8a1e41acc020269,2021-03-19_20h32.49.960,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.700715,0,4,4,2,1,Headphone/t2_1.wav,2,5f740f60b8a1e41acc020269,2021-03-19_20h32.49.960,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.52123,0,5,5,0,1,Headphone/t1_1.wav,1,5f740f60b8a1e41acc020269,2021-03-19_20h32.49.960,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f740f60b8a1e41acc020269,2021-03-19_20h32.49.960,GuessTheSound,2020.2.10,Win32,60,space,29.266295,space,12.82396,space,7.34308,2,1,11.20512,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice
