VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,5.84719,space,8.365545,1,0,4.21357,0,0,0,3,1,Headphone/t2_2.wav,2,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0,1.517675,0,1,1,5,1,Headphone/t3_2.wav,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0,21.67341,0,2,2,2,1,Headphone/t2_1.wav,2,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,0.98442,0,3,3,1,1,Headphone/t1_2.wav,1,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0,0.48103,0,4,4,4,1,Headphone/t3_1.wav,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,1.233205,0,5,5,0,1,Headphone/t1_1.wav,1,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,space,10.066455,space,25.34983,space,4.78592,3,1,5.9637,0,0,0,0,1,Practice/Seagull_A.wav,,,,,,,,,,,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,3,1,5.24114,0,1,1,1,1,Practice/Skid_B.wav,,,,,,,,,,,,
,,,,,,,,,,,,,1,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,1,1,2.68273,0,2,2,2,1,Practice/Seagull_A.wav,,,,,,,,,,,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,3,1,2.766445,0,3,3,3,1,Practice/Gargle_A.wav,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,2,1,1.946665,0,4,4,4,1,Practice/Gargle_B.wav,,,,,,,,,,,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,space,6.96332,3,1,8.627025,0,0,0,0,1,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Coin_A.wav,,,3,1,2.467865,0,1,1,1,1,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,3,1,2.389365,0,2,2,2,1,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,,,3,1,10.136255,0,3,3,3,1,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,,,3,1,1.11946,0,4,4,4,1,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Bird.wav,,,2,0,5.154495,0,5,5,5,1,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,,,3,1,0.48861,0,6,6,6,1,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,,,3,1,0.721265,0,7,7,7,1,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,,,3,1,0.500505,0,8,8,8,1,,
,,,,,,,,,,,,,2,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Piano_B.wav,,,2,1,3.618545,0,9,9,9,1,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,,,3,1,0.602705,0,10,10,10,1,,
,,,,,,,,,,,,,3,5ecabe5010d2c3623cb2dedd,001,2021-01-24_16h03.01.214,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,,,3,1,1.183425,0,11,11,11,1,,
