VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneTrials.thisRepN,HeadphoneTrials.thisTrialN,HeadphoneTrials.thisN,HeadphoneTrials.thisIndex,HeadphoneTrials.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,1,1,1.16906,0,14,14,14,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,,,3,1,0.96823,0,15,15,15,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,,,3,1,2.69039,0,16,16,16,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Baby_A.wav,,,2,1,0.562765,0,17,17,17,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,,,1,0,0.84888,0,18,18,18,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_B.wav,,,3,0,0.96779,0,19,19,19,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,,,3,1,2.678715,0,20,20,20,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_C.wav,,,2,1,0.735575,0,21,21,21,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Pour_D.wav,,,1,0,1.11655,0,22,22,22,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Camera.wav,,,3,1,1.202855,0,23,23,23,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,,,1,1,1.034085,0,24,24,24,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,,,3,0,1.099995,0,25,25,25,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,,,3,1,2.4747,0,26,26,26,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Baby_C.wav,,,2,1,0.63389,0,27,27,27,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_C.wav,,,2,1,1.217625,0,28,28,28,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,,,1,1,1.136075,0,29,29,29,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Piano_C.wav,,,2,1,0.885025,0,30,30,30,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,,,1,1,0.55783,0,31,31,31,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Pour_C.wav,,,2,1,1.063985,0,32,32,32,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_D.wav,,,2,1,1.024415,0,33,33,33,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,,,3,1,0.885985,0,34,34,34,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Buzz.wav,,,3,1,0.505735,0,35,35,35,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Donkey.wav,,,3,1,0.54933,0,36,36,36,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,1,1,0.40495,0,37,37,37,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,,,3,1,1.551315,0,38,38,38,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,,,1,0,0.73563,0,39,39,39,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,,,1,1,0.5364,0,40,40,40,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cough_A.wav,,,3,1,1.334825,0,41,41,41,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,,,3,1,0.91346,0,42,42,42,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,,,1,1,0.70086,0,43,43,43,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chomp_A.wav,,,1,0,1.222405,0,44,44,44,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/CarStart_A.wav,,,3,1,0.475625,0,45,45,45,1,,
