VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0.642125,space,1.142235,2,0,2.240275,0,0,0,5,1,Headphone/t3_2.wav,3,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.22057,0,1,1,0,1,Headphone/t1_1.wav,1,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.08929,0,2,2,1,1,Headphone/t1_2.wav,1,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.38065,0,3,3,3,1,Headphone/t2_2.wav,2,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.35339,0,4,4,2,1,Headphone/t2_1.wav,2,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.25134,0,5,5,4,1,Headphone/t3_1.wav,3,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,space,1.466435,space,0.581355,space,1.233305,3,1,1.26305,0,0,0,0,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.951745,0,1,1,1,1,Practice/Skid_B.wav,,,,,,,,,,
,,,,,,,,,,,,,1,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,0,0.500635,0,2,2,2,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,0,0.657855,0,3,3,3,1,Practice/Gargle_A.wav,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.524935,0,4,4,4,1,Practice/Gargle_B.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,space,4.76834,3,1,1.38735,0,0,0,0,1
,,,,,,,,,,,,,3,,001,2021-01-23_23h14.20.575,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,,,3,1,2.473705,0,1,1,1,1
