VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,6.08197,space,19.120705,space,8.50074,3,1,22.93206,0,0,0,0,1,Practice/Seagull_A.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,3,1,8.832255,0,1,1,1,1,Practice/Skid_B.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,1,1,4.268175,0,2,2,2,1,Practice/Seagull_A.wav,1,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,3,1,1.27266,0,3,3,3,1,Practice/Gargle_A.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,2,1,3.882445,0,4,4,4,1,Practice/Gargle_B.wav,2,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,space,9.404855,3,1,1.54666,0,0,0,0,1
,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.42179,0,1,1,1,1
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,6.48814,0,2,2,2,1
,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.83456,0,3,3,3,1
,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.824495,0,4,4,4,1
,,,,,,,,,,,,,,Test/Foils/Bird.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.753325,0,5,5,5,1
,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.042755,0,6,6,6,1
,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.772285,0,7,7,7,1
,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.900655,0,8,8,8,1
,,,,,,,,,,,,,,Piano_D.wav,2,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,2,1,5.83754,0,9,9,9,1
,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.349625,0,10,10,10,1
,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.373335,0,11,11,11,1
,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.088365,0,12,12,12,1
,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.1373,0,13,13,13,1
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,1,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.40254,0,14,14,14,1
