SoundFiles3,Correct,Distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinue.started,VolumeContinue.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,StartTxt.started,StartTxt.stopped,no3.started,no3.stopped,no2.started,no2.stopped,no1.started,no1.stopped,Question.started,Question.stopped,ResponseBox.text,ResponseBox.started,ResponseBox.stopped,SubmitClick.started,SubmitClick.stopped,ClickTheButton.started,ClickTheButton.stopped,SoundItem.started,SoundItem.stopped,ItemNo.started,ItemNo.stopped,Submit.started,Submit.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.rt,MSTResp.started,MSTResp.stopped,ThankyouMssg.started,ThankyouMssg.stopped,CompletionCode.started,CompletionCode.stopped,ExitTxt.started,ExitTxt.stopped,ExitKey.keys,ExitKey.rt,ExitKey.started,ExitKey.stopped,CodeTxt.started,CodeTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.833733800100163,None,8.833733800100163,None,9.894042500061914,None,9.894042500061914,None,space,1.2991929999552667,9.894042500061914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,GuessTheSound,2020.2.10,59.79816921394304,
,,,,,,,,,,,,,,,,,,,11.222309099975973,None,11.222309099975973,None,space,1.0768508000764996,11.222309099975973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,GuessTheSound,2020.2.10,59.79816921394304,
,,,,,,,,,,,,,,,,,,,,,,,,,,,12.323860000120476,None,12.323860000120476,None,space,1.5335842999629676,12.323860000120476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_1630,GuessTheSound,2020.2.10,59.79816921394304,
Initial/Doubled/Siren_A.wav,3,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.93482770002447,None,13.937248180154711,None,13.93482770002447,None,14.803425200050697,None,16.89626429998316,None,17.820112500106916,None,18.820138700073585,None,19.87399059999734,None,"

",19.87399059999734,None,0.009500379906967282,None,19.87399059999734,None,19.870612380094826,None,19.87399059999734,None,19.87399059999734,None,24.28237170004286,None,3,1.824833800084889,24.28237170004286,None,,,,,,,,,,,,,,001,2021_Jan_05_1630,GuessTheSound,2020.2.10,59.79816921394304,
Initial/NoRepeat/Baby_B.wav,3,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.164722200017422,None,27.1700469001662,None,28.170089700026438,None,29.204981500050053,None,"

",29.204981500050053,None,0.003374840132892132,None,29.204981500050053,None,29.18673134013079,None,29.204981500050053,None,29.204981500050053,None,30.845423800172284,None,3,0.9976923000067472,30.845423800172284,None,,,,,,,,,,,,,,001,2021_Jan_05_1630,GuessTheSound,2020.2.10,59.79816921394304,
Initial/Repeat/Pour.wav,3,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.86982910009101,None,32.870145900174975,None,33.869955900125206,None,34.90835340018384,None,"

",34.90835340018384,None,0.01520265988074243,None,34.90835340018384,None,34.90332596004009,None,34.90835340018384,None,34.90835340018384,None,36.945794800063595,None,3,1.515347900101915,36.945794800063595,None,,,,,,,,,,,,,,001,2021_Jan_05_1630,GuessTheSound,2020.2.10,59.79816921394304,
Initial/Doubled/Piano_A.wav,3,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.48992080008611,None,39.50323020014912,None,40.503144200192764,None,41.546977899968624,None,"

",41.546977899968624,None,0.013336959993466735,None,41.546977899968624,None,41.53652406018227,None,41.546977899968624,None,41.546977899968624,None,44.87776130018756,None,3,0.42104310006834567,44.87776130018756,None,,,,,,,,,,,,,,001,2021_Jan_05_1630,GuessTheSound,2020.2.10,59.79816921394304,
Test/Foils/Bird.wav,3,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.32152670016512,None,46.33655270002782,None,47.33660820010118,None,48.37668830016628,None,"

",48.37668830016628,None,0.014746560016646981,None,48.37668830016628,None,48.36980686010793,None,48.37668830016628,None,48.37668830016628,None,49.88281550002284,None,3,0.6529076001606882,49.88281550002284,None,,,,,,,,,,,,,,001,2021_Jan_05_1630,GuessTheSound,2020.2.10,59.79816921394304,
Initial/NoRepeat/Footsteps_B.wav,3,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.55497120018117,None,51.569862300064415,None,52.56993340002373,None,53.60730989999138,None,"

",53.60730989999138,None,0.016373660182580352,None,53.60730989999138,None,53.60316716018133,None,53.60730989999138,None,53.60730989999138,None,55.92161740013398,None,3,0.7869406000245363,55.92161740013398,None,,,,,,,,,,,,,,001,2021_Jan_05_1630,GuessTheSound,2020.2.10,59.79816921394304,
Initial/NoRepeat/Helicopter_A.wav,3,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7387739000842,None,57.75327750016004,None,58.75324059999548,None,59.794246200006455,None,"

",59.794246200006455,None,0.013651859946548939,None,59.794246200006455,None,59.78639636002481,None,59.794246200006455,None,59.794246200006455,None,61.59208040009253,None,3,0.7721514001023024,61.59208040009253,None,,,,,,,,,,,,,,001,2021_Jan_05_1630,GuessTheSound,2020.2.10,59.79816921394304,
