File,Correct,SoundFile5,Type,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,10.121103800018318,None,10.121103800018318,None,11.068901100021321,None,space,0.4698039999930188,11.068901100021321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,,,,,,,,,,,,,,,,,,,,,,,,,,11.621145499986596,None,11.615102059999481,None,11.621145499986596,None,12.168066899990663,None,12.168066899990663,None,space,1.0668479999876581,12.168066899990663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
Headphone/t3_2.wav,3,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.365659430000232,None,17.880442399997264,None,13.360962699982338,17.896998699987307,13.360962699982338,17.896998699987307,2,0,0.8369147999910638,17.880442399997264,None,18.764940900029615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
Headphone/t2_2.wav,2,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.780300080007876,None,24.297174100007396,None,19.776865100022405,24.31355750001967,19.776865100022405,24.31355750001967,3,0,0.0380818999838084,24.297174100007396,None,24.363013900001533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
Headphone/t3_1.wav,3,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.380247679993047,None,29.897280999983195,None,25.379654499993194,29.913639099977445,25.379654499993194,29.913639099977445,2,0,0.26785339997150004,29.897280999983195,None,30.181827299995348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
Headphone/t1_2.wav,1,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.213557980011686,None,35.729987400001846,None,31.209761600010097,35.746163700008765,31.209761600010097,35.746163700008765,2,0,0.37515440001152456,35.729987400001846,None,36.13061990001006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
Headphone/t1_1.wav,1,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.146920479997064,None,41.680012300028466,None,37.148837300017476,41.696825699997135,37.148837300017476,41.696825699997135,1,1,0.46920459996908903,41.680012300028466,None,42.191912700014655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
Headphone/t2_1.wav,2,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.19648549000849,None,47.72998900001403,None,43.20599749998655,47.74699950002832,43.20599749998655,47.74699950002832,3,0,1.0372970000025816,47.72998900001403,None,48.81000870000571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.814204399997834,None,49.814204399997834,None,space,2.175724199973047,49.814204399997834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.02048659999855,None,52.02048659999855,None,space,1.6445227999938652,52.02048659999855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.68638179998379,None,53.68638179998379,None,space,0.5974417999968864,53.68638179998379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Practice/Seagull_A.wav,NEW,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.39320069999667,None,54.39803454002831,None,54.39320069999667,None,2,1,1.281045500014443,56.692157400015276,None,56.692157400015276,None,56.692157400015276,None,56.692157400015276,None,56.692157400015276,None,58.01368089998141,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Practice/Skid_B.wav,NEW,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.03040420002071,None,59.030179780023175,None,59.03040420002071,None,2,1,0.9318021999788471,61.12990489997901,None,61.12990489997901,None,61.12990489997901,None,61.12990489997901,None,61.12990489997901,None,62.0815808000043,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,1,Practice/Seagull_A.wav,OLD,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.11178590002237,65.37929399998393,63.11305388003821,None,63.11178590002237,65.37929399998393,1,1,0.6230500999954529,65.41942240000935,None,65.41942240000935,None,65.41942240000935,None,65.41942240000935,None,65.41942240000935,None,66.06374589999905,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Practice/Gargle_A.wav,NEW,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.07999100000598,None,67.07974997999844,None,67.07999100000598,None,1,0,0.7202287999680266,69.36443409998901,None,69.36443409998901,None,69.36443409998901,None,69.36443409998901,None,69.36443409998901,None,70.12419980001869,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Practice/Gargle_B.wav,SIMILAR,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.14391640003305,None,71.1462768799858,None,71.14391640003305,None,2,1,0.6164290000451729,73.22408630000427,None,73.22408630000427,None,73.22408630000427,None,73.22408630000427,None,73.22408630000427,None,73.87595790001797,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.88164809998125,None,space,2.0814269999973476,74.88164809998125,None,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Initial/Doubled/CarStart_A.wav,NEW,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.88164809998125,None,77.04746790003264,None,78.51295957998371,None,78.51480790000642,None,78.51480790000642,None,81.0316350000212,None,2,1,1.952478399965912,81.0316350000212,None,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Initial/Doubled/Clap_A.wav,NEW,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.01450930000283,None,84.54614427998894,None,84.54997470002854,None,84.54997470002854,None,87.06496450002305,None,2,1,1.0236649999860674,87.06496450002305,None,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Initial/Doubled/Cuckoo_A.wav,NEW,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.11794820002979,None,89.64615567999425,None,89.65208460000576,None,89.65208460000576,None,92.14623230003053,None,2,1,0.57973600004334,92.14623230003053,None,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Initial/Doubled/Chomp_A.wav,NEW,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.74648710002657,None,94.26278377998386,None,94.26670690003084,None,94.26670690003084,None,96.77931389998412,None,2,1,1.1485933000221848,96.77931389998412,None,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Initial/NoRepeat/Toilet_B.wav,NEW,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.94757910002954,None,99.4625246900192,None,99.47312869998859,None,99.47312869998859,None,101.97929360001581,None,2,1,1.2030156999826431,101.97929360001581,None,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Initial/Doubled/Piano_A.wav,NEW,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.21222819999093,None,104.72946478000375,None,104.73772299999837,None,104.73772299999837,None,107.24610729998676,None,2,1,0.4449872000259347,107.24610729998676,None,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Initial/Doubled/Cat_A.wav,NEW,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.71370969997952,None,109.24595418000825,None,109.24850879999576,None,109.24850879999576,None,110.66262700001244,None,2,1,0.5867198000196368,110.66262700001244,None,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,1,Initial/Doubled/Clap_A.wav,OLD,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.27921359997708,None,112.79593258000676,None,112.79384880000725,None,112.79384880000725,None,115.29599140002392,None,2,0,0.3106001000269316,115.29599140002392,None,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
,2,Initial/Repeat/Buzz.wav,NEW,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.6289241000195,None,117.14579768000402,None,117.15461159998085,None,117.15461159998085,None,119.46265810000477,None,2,1,2.658853800036013,119.46265810000477,None,,001,2021_Feb_14_1929,GuessTheSound,2020.2.10,60.06774440050656,
