VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,Welcome2Continue.keys,Welcome2Continue.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,2.18774,space,26.561485,space,19.556715,space,6.74954,3,1,7.29846,0,0,0,0,1,Practice/Seagull_A.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,1,2.814915,0,1,1,1,1,Practice/Skid_B.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,1,11.173655,0,2,2,2,1,Practice/Seagull_A.wav,1,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,1,4.975295,0,3,3,3,1,Practice/Gargle_A.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,1,2.43968,0,4,4,4,1,Practice/Gargle_B.wav,2,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,space,13.91366,3,1,1.409045,0,0,0,0,1,,
,,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.80219,0,1,1,1,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.824355,0,2,2,2,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,3,1,11.452355,0,3,3,3,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.617975,0,4,4,4,1,,
,,,,,,,,,,,,,,,,Test/Foils/Bird.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.13786,0,5,5,5,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.55212,0,6,6,6,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,,001,2021-01-18_15h27.05.386,GuessTheSound,2020.2.10,Win32,60,,,3,1,2.15394,0,7,7,7,1,,
