SoundFiles3,Correct,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no1.started,no1.stopped,no_2.started,no_2.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,ThankyouMssg.started,ThankyouMssg.stopped,CompletionCode.started,CompletionCode.stopped,ExitTxt.started,ExitTxt.stopped,ExitKey.keys,ExitKey.rt,ExitKey.started,ExitKey.stopped,CodeTxt.started,CodeTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Test/Foils/Typing.wav,1,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.45042220002506,None,201.45034660003148,202.45042220002506,200.46735050005373,201.4670561000239,203.4671837600414,None,203.4647501000436,None,203.4647501000436,None,205.83437779999804,None,2,0,0.6904282999457791,205.83437779999804,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/NoRepeat/Snore_B.wav,3,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.53369579999708,None,207.5336202000035,208.53369579999708,206.54990640003234,207.550476500066,209.55038226002364,None,209.55238290003035,None,209.55238290003035,None,211.46784840000328,None,3,1,0.9663320999825373,211.46784840000328,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Baby_C.wav,2,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.43359570007306,None,213.43357520003337,214.43359570007306,212.45027480006684,213.45031169999857,215.45019666003066,None,215.45198020001408,None,215.45198020001408,None,217.45108949998394,None,2,1,0.5238883000565693,217.45108949998394,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Siren_C.wav,2,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.98395090003032,None,218.9839706000639,219.98395090003032,218.0041984000709,219.01742230006494,221.00033805998976,None,221.00333510001656,222.9668279000325,221.00333510001656,222.9668279000325,222.98468950006645,None,3,0,0.5486244999337941,222.98468950006645,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/Doubled/Chime_A.wav,1,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.53331299999263,None,224.53352799999993,225.53331299999263,223.55250240000896,224.56683520006482,226.55014246006033,None,226.54731960000936,None,226.54731960000936,None,228.8831975000212,None,3,0,0.736431899946183,228.8831975000212,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Piano_C.wav,2,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.63226900005247,None,230.6320203000214,231.63226900005247,229.64897530002054,230.64872759999707,232.64979346005714,None,232.64644100004807,None,232.64644100004807,None,235.1176690000575,None,2,1,1.7924319000449032,235.1176690000575,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/NoRepeat/Fireworks.wav,1,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.91718129999936,None,237.91679190006107,238.91718129999936,236.93364589998964,237.93378379999194,239.93361465996134,None,239.93219520000275,242.39999309997074,239.93219520000275,242.39999309997074,242.4176225999836,None,1,1,0.41446229990106076,242.4176225999836,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Pour_C.wav,2,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.83344820002094,None,243.83344509999733,244.83344820002094,242.85146669996902,243.8667932000244,245.84991025996862,None,245.8549838999752,None,245.8549838999752,None,248.36758580000605,None,2,1,0.5798672999953851,248.36758580000605,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Bird_D.wav,2,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.94999059999827,None,249.9499999000691,250.94999059999827,248.96730750007555,249.96671289997175,251.9669485599967,None,251.96712659997866,252.79989180003759,251.96712659997866,252.79989180003759,252.81728169997223,None,2,1,1.0423365000169724,252.81728169997223,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/Repeat/Airplane_B.wav,3,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8667879999848,None,254.8666452000616,255.8667879999848,253.88489910005592,254.90000759996474,256.91658152004237,None,256.9181194000412,None,256.9181194000412,None,259.034348999965,None,3,1,2.0295478999614716,259.034348999965,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Test/Foils/Buzz.wav,3,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0664889999898,None,262.0667838000227,263.0664889999898,261.0850987000158,262.0999339000555,264.0998761899886,None,264.10851130005904,None,264.10851130005904,None,265.91743130004033,None,1,0,0.7917689000023529,265.91743130004033,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Test/Foils/Donkey.wav,3,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.71627720003016,None,267.7162336000474,268.71627720003016,266.7327000000514,267.73289320000913,269.7493736900273,None,269.75528020004276,None,269.75528020004276,None,271.96716210001614,None,3,1,1.054881399963051,271.96716210001614,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/Doubled/Cuckoo_A.wav,1,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.03342370002065,None,274.03269769996405,275.03342370002065,273.0548075999832,274.06596170004923,276.0498949600384,None,276.0447739000665,None,276.0447739000665,None,278.03415820002556,None,1,1,0.42493460001423955,278.03415820002556,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/Doubled/Chicken_A.wav,3,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.46629949996714,None,279.46638980007265,280.46629949996714,278.4826834000414,279.48295159998816,281.48514726003634,None,281.4889811000321,282.66896759998053,281.4889811000321,282.66896759998053,282.6859519999707,None,2,0,1.1681841000681743,282.6859519999707,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/Doubled/Laugh_A.wav,3,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.8693363000639,None,284.8690315000713,285.8693363000639,283.8837845000671,284.8858356999699,286.9163683900028,None,286.91645410005003,None,286.91645410005003,None,289.1173838999821,None,3,1,0.8292597000254318,289.1173838999821,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Test/Foils/Typing.wav,1,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.949538600049,None,290.94959870004095,291.949538600049,289.96772040007636,290.9831504999893,292.96642936000137,None,292.9687744000694,None,292.9687744000694,None,295.33382619998883,None,1,1,0.5120829000370577,295.33382619998883,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/Doubled/Cough_A.wav,3,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.84943509998266,None,296.84948870004155,297.84943509998266,295.86626300006174,296.8662263000151,298.86647105999293,None,298.86909270007163,None,298.86909270007163,None,300.0838974000653,None,2,0,0.7365643000230193,300.0838974000653,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/Doubled/Clap_A.wav,3,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.83307529997546,None,301.8326533000218,302.83307529997546,300.84991450002417,301.8493117999751,303.84943316006104,None,303.85184130002744,None,303.85184130002744,None,305.86711049999576,None,3,1,1.4067810999695212,305.86711049999576,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/Doubled/Writing_A.wav,1,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.2829548000591,None,308.2829014000017,309.2829548000591,307.3044729999965,308.3166340000462,310.29951885996854,None,310.3002465000609,None,310.3002465000609,None,312.4998910999857,None,1,1,1.1990954999346286,312.4998910999857,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/Doubled/Chomp_A.wav,3,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.6993857000489,None,314.6989551000297,315.6993857000489,313.7160871999804,314.71588220004924,316.69897362998455,None,316.7028350000037,None,316.7028350000037,None,318.88362740003504,None,3,1,0.608638400095515,318.88362740003504,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/Doubled/CarStart_A.wav,3,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.49941980000585,None,320.4989649000345,321.49941980000585,319.5157803000184,320.5155802000081,322.5158664600691,None,322.5112345999805,None,322.5112345999805,None,324.5168553000549,None,3,1,1.3547806000569835,324.5168553000549,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/NoRepeat/Fireworks.wav,1,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.88225969998166,None,326.8826371000614,327.88225969998166,325.8992577000754,326.8993332000682,328.8994801599998,None,328.8965551999863,None,328.8965551999863,None,331.3667456000112,None,1,1,0.5239194999448955,331.3667456000112,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Initial/NoRepeat/Toilet_B.wav,3,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.8988575000549,None,332.89914550003596,333.8988575000549,331.9167921000626,332.9159033000469,334.91546086003075,None,334.90656370006036,337.33263550000265,334.90656370006036,337.33263550000265,337.3500778999878,None,3,1,0.58612130000256,337.3500778999878,None,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
