VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,Welcome2Continue.keys,Welcome2Continue.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,,,Test/Foils/Bird.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.523,0,5,5,5,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.047,0,6,6,6,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.592,0,7,7,7,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.406,0,8,8,8,1,,
,,,,,,,,,,,,,,,,Piano_B.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.37,0,9,9,9,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.641,0,10,10,10,1,,
,,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.574,0,11,11,11,1,,
,,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,2.666,0,12,12,12,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.289,0,13,13,13,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.629,0,14,14,14,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.421,0,15,15,15,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.707,0,16,16,16,1,,
,,,,,,,,,,,,,,,,Baby_A.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,2.882,0,17,17,17,1,,
,,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,10.078,0,18,18,18,1,,
,,,,,,,,,,,,,,,,Siren_B.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,28.149,0,19,19,19,1,,
,,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.66,0,20,20,20,1,,
,,,,,,,,,,,,,,,,Bird_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.573,0,21,21,21,1,,
,,,,,,,,,,,,,,,,Pour_D.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.192,0,22,22,22,1,,
,,,,,,,,,,,,,,,,Test/Foils/Camera.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.321,0,23,23,23,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.811,0,24,24,24,1,,
,,,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,3.518,0,25,25,25,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.393,0,26,26,26,1,,
,,,,,,,,,,,,,,,,Baby_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.104,0,27,27,27,1,,
,,,,,,,,,,,,,,,,Siren_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.622,0,28,28,28,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.608,0,29,29,29,1,,
,,,,,,,,,,,,,,,,Piano_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,2.815,0,30,30,30,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.623,0,31,31,31,1,,
,,,,,,,,,,,,,,,,Pour_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.238,0,32,32,32,1,,
,,,,,,,,,,,,,,,,Bird_D.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.574,0,33,33,33,1,,
,,,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.64,0,34,34,34,1,,
,,,,,,,,,,,,,,,,Test/Foils/Buzz.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.542,0,35,35,35,1,,
,,,,,,,,,,,,,,,,Test/Foils/Donkey.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.842,0,36,36,36,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,4.67,0,37,37,37,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.045,0,38,38,38,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.289,0,39,39,39,1,,
