File,Correct,SoundFile,Correct2,Type,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,ThankyouMssg.started,ThankyouMssg.stopped,CompletionCode.started,CompletionCode.stopped,ExitTxt.started,ExitTxt.stopped,ExitKey.keys,ExitKey.rt,ExitKey.started,ExitKey.stopped,CodeTxt.started,CodeTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,1,Initial/Doubled/Chicken_A.wav,1,OLD,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.244986900012,None,360.75970401003724,None,360.7672791000223,None,360.7672791000223,None,362.4439470000798,None,1,1,0.36166499997489154,362.4439470000798,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,1,Initial/Repeat/Cello.wav,1,OLD,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.8268647000659,None,364.3428114199778,None,364.34723880002275,None,364.34723880002275,None,367.2103658000706,None,1,1,0.37197169999126345,367.2103658000706,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Test/Foils/Slurp.wav,3,NEW,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.6106616000179,None,369.1597179400269,None,369.162052800064,None,369.162052800064,None,371.5437977000838,None,3,1,0.38755749992560595,371.5437977000838,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Initial/Doubled/Chomp_A.wav,3,NEW,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.95965299999807,None,373.5097063400317,None,373.50900920003187,None,373.50900920003187,None,376.1938145000022,None,3,1,0.6032105999765918,376.1938145000022,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,1,Initial/Repeat/Airplane_B.wav,1,OLD,,,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.8262164000189,None,378.3427765200613,None,378.3417102000676,None,378.3417102000676,None,380.94357940007467,None,1,1,1.68560189998243,380.94357940007467,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Initial/Repeat/ManWhistle.wav,3,NEW,,,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.66236950003076,None,384.2261482400354,None,384.22926640009973,None,384.22926640009973,None,386.44355980004184,None,3,1,0.3740823999978602,386.44355980004184,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,1,Initial/Repeat/Trumpet_B.wav,1,OLD,,,,,,,,,0,58,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.84547770000063,None,388.37479631998576,None,388.3694594000699,None,388.3694594000699,None,390.6604010000592,None,3,0,0.4080601000459865,390.6604010000592,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Initial/Repeat/Cup.wav,3,NEW,,,,,,,,,0,59,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.0941715000663,None,392.6454509400064,None,392.6426221000729,None,392.6426221000729,None,393.9768127000425,None,3,1,0.32162820000667125,393.9768127000425,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Snore_C.wav,2,SIMILAR,,,,,,,,,0,60,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.3271137000993,None,395.87625694007147,None,395.8781702000415,None,395.8781702000415,None,398.74349630007055,None,2,1,0.4420003000413999,398.74349630007055,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Test/Foils/Airhorn.wav,3,NEW,,,,,,,,,0,61,61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.2098665999947,None,400.75938434002455,None,400.7603645999916,None,400.7603645999916,None,403.3266337000532,None,3,1,0.4072726999875158,403.3266337000532,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
