WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0.930325,space,0.91677,,0,0,0,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,,001,2021-01-05_00h33.25.899,GuessTheSound,2020.2.10,Win32,60
,,,,,0,1,1,71,1,Test/Foils/Heartbeat.wav,New,,001,2021-01-05_00h33.25.899,GuessTheSound,2020.2.10,Win32,60
,,,,,0,2,2,75,1,Test/Foils/Robot.wav,New,,001,2021-01-05_00h33.25.899,GuessTheSound,2020.2.10,Win32,60
,,,,,0,3,3,81,1,Initial/Doubled/CarStart_A.wav,Extra,,001,2021-01-05_00h33.25.899,GuessTheSound,2020.2.10,Win32,60
,,,,,0,4,4,97,1,Test/Foils/Slurp.wav,Extra,,001,2021-01-05_00h33.25.899,GuessTheSound,2020.2.10,Win32,60
