File,Correct,SoundFiles3,HeadphoneTrials.thisRepN,HeadphoneTrials.thisTrialN,HeadphoneTrials.thisN,HeadphoneTrials.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no1.started,no1.stopped,no_2.started,no_2.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.26583899999969,None,79.11626349994913,None,79.11626349994913,None,space,1.4439322999678552,79.11626349994913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2001,GuessTheSound,2020.2.10,60.23084073902694,
,3,Practice/Seagull_A.wav,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.61428839992732,None,80.61514876997099,None,80.61428839992732,None,3,1,1.1353370000142604,82.88246799993794,None,82.88246799993794,None,82.88246799993794,None,82.88246799993794,None,82.88246799993794,None,84.04825849994086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2001,GuessTheSound,2020.2.10,60.23084073902694,
,3,Practice/Skid_B.wav,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.06774559989572,None,85.06477027998773,None,85.06774559989572,None,3,1,0.5226516999537125,87.18193949991837,None,87.18193949991837,None,87.18193949991837,None,87.18193949991837,None,87.18193949991837,None,87.73142329999246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2001,GuessTheSound,2020.2.10,60.23084073902694,
,1,Practice/Seagull_A.wav,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.73130669991951,90.99813799990807,88.73222768991255,None,88.73130669991951,90.99813799990807,1,1,1.0662111000856385,91.01966229989193,None,91.01966229989193,None,91.01966229989193,None,91.01966229989193,None,91.01966229989193,None,92.11516249994747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2001,GuessTheSound,2020.2.10,60.23084073902694,
,3,Practice/Gargle_A.wav,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.16859229991678,None,93.16544945994393,None,93.16859229991678,None,3,1,0.6880799999926239,95.4508015998872,None,95.4508015998872,None,95.4508015998872,None,95.4508015998872,None,95.4508015998872,None,96.1649503998924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2001,GuessTheSound,2020.2.10,60.23084073902694,
,2,Practice/Gargle_B.wav,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.21994669991545,None,97.21493645992597,None,97.21994669991545,None,2,1,0.34264429996255785,99.28967089997604,None,99.28967089997604,None,99.28967089997604,None,99.28967089997604,None,99.28967089997604,None,99.6485983999446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2001,GuessTheSound,2020.2.10,60.23084073902694,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6487388999667,None,space,1.0466127999825403,100.6487388999667,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2001,GuessTheSound,2020.2.10,60.23084073902694,
,3,Initial/NoRepeat/Elephant_A.wav,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6487388999667,None,103.7480012999149,None,102.74848519999068,103.7480012999149,101.75397469999734,102.76514179992955,104.74792587996927,None,104.74697199999355,107.29875739989802,104.74697199999355,107.29875739989802,107.31602379994001,None,1,0,1.1687882000114769,107.31602379994001,None,,001,2021_Jan_22_2001,GuessTheSound,2020.2.10,60.23084073902694,
,3,Initial/Doubled/Coin_A.wav,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.51476259995252,None,109.51479009992909,110.51476259995252,108.51484979991801,109.51479009992909,111.54810256992933,None,111.55426879995503,None,111.55426879995503,None,112.66559150000103,None,3,1,6.295306700048968,112.66559150000103,None,,001,2021_Jan_22_2001,GuessTheSound,2020.2.10,60.23084073902694,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.98152029991616,None,119.9671918998938,120.98152029991616,118.9876774000004,120.00160139997024,121.99815747998656,None,122.00909469998442,None,122.00909469998442,None,,,,,,,,,,,,,,
