File,Correct,SoundFile,Correct2,Type,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,2,Crow_A.wav,2,SIMILAR,,,,,,,,,0,90,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.9084791999776,None,474.4411366199842,None,474.4502597999526,None,474.4502597999526,None,476.2919571000384,None,2,1,0.8624305999837816,476.2919571000384,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Goat_D.wav,3,NEW,,,,,,,,,0,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.17535090004094,None,478.69114743995016,None,478.7013580999337,None,478.7013580999337,None,480.42523940000683,None,3,1,0.7751673000166193,480.42523940000683,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,1,Initial/Doubled/HairDryer_A.wav,1,OLD,,,,,,,,,0,92,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.2249315000372,None,482.74097387995573,None,482.7391562999692,None,482.7391562999692,None,485.3087805999676,None,3,0,0.21584200009237975,485.3087805999676,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,1,Initial/Doubled/Cuckoo_A.wav,1,OLD,,,,,,,,,0,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.54409899993334,None,487.0576241400093,None,487.06762939994223,None,487.06762939994223,None,489.55873149994295,None,3,0,0.15866210008971393,489.55873149994295,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Coin_C.wav,3,NEW,,,,,,,,,0,94,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.7425758000463,None,491.2742282799678,None,491.2757643000223,None,491.2757643000223,None,492.5917658000253,None,3,1,0.9631348999682814,492.5917658000253,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Initial/Repeat/Howl.wav,3,NEW,,,,,,,,,0,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.5755847999826,None,495.1078401799547,None,495.10863899998367,None,495.10863899998367,None,497.8584307000274,None,3,1,0.5050339000299573,497.8584307000274,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,1,Initial/NoRepeat/Hammer_A.wav,1,OLD,,,,,,,,,0,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.3907487000106,None,499.90761017999614,None,499.90417869994417,None,499.90417869994417,None,502.3751908999402,None,3,0,0.45100230001844466,502.3751908999402,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Initial/NoRepeat/Helicopter_A.wav,3,NEW,,,,,,,,,0,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.84727909998037,None,504.37399697992953,None,504.3791201999411,None,504.3791201999411,None,506.84155589994043,None,3,1,0.39659180003218353,506.84155589994043,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Initial/Doubled/Bubbles_A.wav,3,NEW,,,,,,,,,0,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.2594299999764,None,508.7908799799858,None,508.79608060000464,None,508.79608060000464,None,511.2085675999988,None,3,1,0.5906114999670535,511.2085675999988,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Footsteps_C.wav,2,SIMILAR,,,,,,,,,0,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.8255887000123,None,513.3574779799906,None,513.3680616000202,None,513.3680616000202,None,516.1415523999603,None,2,1,0.6509661000454798,516.1415523999603,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
