VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneTrials.thisRepN,HeadphoneTrials.thisTrialN,HeadphoneTrials.thisN,HeadphoneTrials.thisIndex,HeadphoneTrials.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,1,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,3,0,0.44305,0,14,14,14,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,,,3,1,1.967605,0,15,15,15,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,,,3,1,1.410715,0,16,16,16,1
,,,,,,,,,,,,,2,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Baby_A.wav,,,2,1,0.80087,0,17,17,17,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,,,2,0,1.990275,0,18,18,18,1
,,,,,,,,,,,,,2,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_B.wav,,,3,0,0.67648,0,19,19,19,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,,,3,1,0.58817,0,20,20,20,1
,,,,,,,,,,,,,2,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_C.wav,,,2,1,0.753605,0,21,21,21,1
,,,,,,,,,,,,,2,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Pour_D.wav,,,2,1,0.608955,0,22,22,22,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Camera.wav,,,3,1,0.9223,0,23,23,23,1
,,,,,,,,,,,,,1,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,,,1,1,0.702785,0,24,24,24,1
,,,,,,,,,,,,,1,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,,,1,1,1.004485,0,25,25,25,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,,,1,0,1.721675,0,26,26,26,1
,,,,,,,,,,,,,2,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Baby_C.wav,,,2,1,0.76764,0,27,27,27,1
,,,,,,,,,,,,,2,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_C.wav,,,2,1,0.7884,0,28,28,28,1
,,,,,,,,,,,,,1,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,,,3,0,0.404075,0,29,29,29,1
