VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0.88348,space,1.009655,1,1,0.702435,0,0,0,0,1,Headphone/t1_1.wav,1,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.30639,0,1,1,4,1,Headphone/t3_1.wav,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.103795,0,2,2,2,1,Headphone/t2_1.wav,2,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,0.907645,0,3,3,1,1,Headphone/t1_2.wav,1,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.475365,0,4,4,5,1,Headphone/t3_2.wav,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.436375,0,5,5,3,1,Headphone/t2_2.wav,2,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,space,12.295915,space,0.75191,space,1.76801,3,1,1.95497,0,0,0,0,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.83707,0,1,1,1,1,Practice/Skid_B.wav,,,,,,,,,,
,,,,,,,,,,,,,1,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,0,1.54132,0,2,2,2,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.0498,0,3,3,3,1,Practice/Gargle_A.wav,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.46444,0,4,4,4,1,Practice/Gargle_B.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,space,0.931185,3,1,0.000635,0,0,0,0,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Coin_A.wav,,,3,1,0.04324,0,1,1,1,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,3,1,0.53228,0,2,2,2,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,,,3,1,0.252385,0,3,3,3,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,,,3,1,0.49528,0,4,4,4,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bird.wav,,,3,1,0.83214,0,5,5,5,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,,,3,1,0.25771,0,6,6,6,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,,,3,1,0.240785,0,7,7,7,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,,,3,1,0.43144,0,8,8,8,1
,,,,,,,,,,,,,2,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Piano_B.wav,,,3,0,0.37397,0,9,9,9,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,,,3,1,0.052655,0,10,10,10,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,,,3,1,0.300045,0,11,11,11,1
,,,,,,,,,,,,,3,,001,2021-01-24_10h46.51.742,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,,,3,1,0.911575,0,12,12,12,1
