VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,1.45269,0,25,25,25,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.022235,0,26,26,26,1,,
,,,,,,,,,,,,,,Baby_C.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.89547,0,27,27,27,1,,
,,,,,,,,,,,,,,Siren_C.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,2,1,1.24368,0,28,28,28,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,1.434795,0,29,29,29,1,,
,,,,,,,,,,,,,,Piano_C.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,2,1,1.254485,0,30,30,30,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.934905,0,31,31,31,1,,
,,,,,,,,,,,,,,Pour_C.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,2,1,1.04559,0,32,32,32,1,,
,,,,,,,,,,,,,,Bird_D.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,2,1,1.034595,0,33,33,33,1,,
,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.85102,0,34,34,34,1,,
,,,,,,,,,,,,,,Test/Foils/Buzz.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.585225,0,35,35,35,1,,
,,,,,,,,,,,,,,Initial/Doubled/Growl_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.85627,0,36,36,36,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.8772,0,37,37,37,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.157845,0,38,38,38,1,,
,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.835745,0,39,39,39,1,,
,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,1.30924,0,40,40,40,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cough_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.967515,0,41,41,41,1,,
,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.405585,0,42,42,42,1,,
,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.824235,0,43,43,43,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chomp_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.96982,0,44,44,44,1,,
,,,,,,,,,,,,,,Initial/Doubled/CarStart_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.704785,0,45,45,45,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.88754,0,46,46,46,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.64002,0,47,47,47,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.573295,0,48,48,48,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.83781,0,49,49,49,1,,
,,,,,,,,,,,,,,Initial/Doubled/Dog_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.101515,0,50,50,50,1,,
,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.76009,0,51,51,51,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.41764,0,52,52,52,1,,
,,,,,,,,,,,,,,Laugh_C.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,0,1.095965,0,53,53,53,1,,
,,,,,,,,,,,,,,Cough_D.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,2,1,2.772755,0,54,54,54,1,,
,,,,,,,,,,,,,,Test/Foils/Buzz.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.65729,0,55,55,55,1,,
,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,0,0.71501,0,56,56,56,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.66883,0,57,57,57,1,,
,,,,,,,,,,,,,,CarStart_D.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.56508,0,58,58,58,1,,
,,,,,,,,,,,,,,Chomp_B.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,2,1,1.70615,0,59,59,59,1,,
,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,1,1,0.97194,0,60,60,60,1,,
,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.78396,0,61,61,61,1,,
