VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,7.585795,space,10.793625,2,1,3.335315,0,0,0,3,1,Headphone/t2_2.wav,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.673475,0,1,1,4,1,Headphone/t3_1.wav,3,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.540565,0,2,2,0,1,Headphone/t1_1.wav,1,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.55035,0,3,3,1,1,Headphone/t1_2.wav,1,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.352775,0,4,4,2,1,Headphone/t2_1.wav,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.316025,0,5,5,5,1,Headphone/t3_2.wav,3,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,space,17.284615,space,14.227885,space,6.57799,2,1,4.997215,0,0,0,0,1,Practice/Seagull_A.wav,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.77076,0,1,1,1,1,Practice/Skid_B.wav,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.65296,0,2,2,2,1,Practice/Seagull_A.wav,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.585005,0,3,3,3,1,Practice/Gargle_A.wav,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.6505,0,4,4,4,1,Practice/Gargle_B.wav,SIMILAR,,,,,,,,,,,,
,,,,,,,,,,,,,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/CarStart_A.wav,NEW,space,4.664825,2,1,2.085925,0,0,0,0,1,,
,,,,,,,,,,,,,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,NEW,,,2,1,0.61723,0,1,1,1,1,,
,,,,,,,,,,,,,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,NEW,,,2,1,0.352945,0,2,2,2,1,,
,,,,,,,,,,,,,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chomp_A.wav,NEW,,,2,1,0.447835,0,3,3,3,1,,
,,,,,,,,,,,,,2,5fd2a38cea3f500947f185ce,001,2021-02-15_01h06.27.515,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,NEW,,,2,1,0.434125,0,4,4,4,1,,
