SoundFiles3,Correct,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinue.started,VolumeContinue.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no1.started,no1.stopped,no_2.started,no_2.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,ThankyouMssg.started,ThankyouMssg.stopped,CompletionCode.started,CompletionCode.stopped,ExitTxt.started,ExitTxt.stopped,ExitKey.keys,ExitKey.rt,ExitKey.started,ExitKey.stopped,CodeTxt.started,CodeTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Dog_D.wav,2,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.566799799969885,None,48.5667426,49.566799799969885,47.57222589995945,48.58353739994345,50.58299391997279,None,50.594723199959844,None,50.594723199959844,None,51.71750429994427,None,3,0,2.8323237000149675,51.71750429994427,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/Doubled/Clap_A.wav,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.54961969994474,None,55.54959199996665,56.54961969994474,54.566508499963675,55.56666989997029,57.59991023994517,None,57.59631289995741,None,57.59631289995741,None,58.71759779995773,None,3,0,1.158612400002312,58.71759779995773,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Test/Foils/PaperRip.wav,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.883069499977864,None,60.883336399972904,61.883069499977864,59.901268999965396,60.91662509995513,62.93284133998677,None,62.93197829998098,None,62.93197829998098,None,64.03413119999459,None,3,0,1.0040297000086866,64.03413119999459,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Test/Foils/Wind_B.wav,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.04966629995033,None,66.04962739994517,67.04966629995033,65.06620709999697,66.06650419998914,68.08310897999327,None,68.09501689998433,None,68.09501689998433,None,69.21748899994418,None,3,0,0.7510885000228882,69.21748899994418,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/NoRepeat/Helicopter_A.wav,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.96654869994381,None,70.96633729996393,71.96654869994381,69.98315199994249,70.98303159995703,73.01624333994697,None,73.01633899996523,None,73.01633899996523,None,74.13400349998847,None,3,0,0.8524987000273541,74.13400349998847,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/NoRepeat/Goat_B.wav,3,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.99959499994293,None,75.99957259994699,76.99959499994293,75.01606439996976,76.01643379998859,78.03267937999335,None,78.04247679997934,None,78.04247679997934,None,79.16711919999216,None,3,1,1.4327362999902107,79.16711919999216,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Coin_B.wav,2,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.59947829996236,None,81.5993728999747,82.59947829996236,80.61649679997936,81.61610829998972,83.61641331996071,None,83.61791619996075,None,83.61791619996075,None,84.73404659994412,None,3,0,1.7921180000412278,84.73404659994412,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Test/Foils/Bullfrog.wav,3,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.53270569996675,None,87.53281909995712,88.53270569996675,86.55183249997208,87.56628549995366,89.56631217997638,None,89.57434589997865,None,89.57434589997865,None,90.68396149994805,None,3,1,0.9583680999930948,90.68396149994805,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/NoRepeat/Thunder_A.wav,3,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.64941869996255,None,92.64954569999827,93.64941869996255,91.66800229996443,92.68276579998201,94.69970833995613,None,94.69375559996115,None,94.69375559996115,None,95.81687699997565,None,3,1,0.706659400020726,95.81687699997565,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/NoRepeat/Faucet_A.wav,3,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.53297679999378,None,97.53302439994877,98.53297679999378,96.55072709999513,97.56594099994982,99.56613007998676,None,99.56317749997834,None,99.56317749997834,None,100.68354709999403,None,3,1,0.6335428000311367,100.68354709999403,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
