File,Correct,SoundFile5,Type,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,2,Test/Foils/Donkey.wav,New,,,,,,,,,0,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.7055150000378,None,559.2554980399901,None,559.2544059000211,None,559.2544059000211,None,561.7574317000108,None,2,1,0.569289100007154,561.7574317000108,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/NoRepeat/Sleighbells_B.wav,New,,,,,,,,,0,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.3554116000305,None,563.9054919400252,None,563.8991725000087,None,563.8991725000087,None,566.3222663000342,None,2,1,0.4289720999659039,566.3222663000342,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Chime_C.wav,Similar,,,,,,,,,0,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.7721509000403,None,568.2889105199952,None,568.2954402000178,None,568.2954402000178,None,570.8056804999942,None,2,1,0.6655952000292018,570.8056804999942,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Test/Foils/Wind_B.wav,Old,,,,,,,,,0,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.4886406000005,None,573.00525582002,None,573.0010212000343,None,573.0010212000343,None,575.5055997000309,None,1,1,1.0430887000402436,575.5055997000309,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Initial/Doubled/Bubbles_A.wav,Old,,,,,,,,,0,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.572962300037,None,578.088799720013,None,578.084354599996,None,578.084354599996,None,580.5055603000219,None,1,1,0.43046880001202226,580.5055603000219,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Test/Foils/Typing.wav,New,,,,,,,,,0,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.9567667000229,None,582.5219671400147,None,582.5240325999912,None,582.5240325999912,None,585.0389744000277,None,1,0,0.949845600000117,585.0389744000277,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Baby_A.wav,Similar,,,,,,,,,0,101,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.0232334000175,None,587.5383323600224,None,587.5487755000358,None,587.5487755000358,None,590.0555015000282,None,2,1,0.7192649000207894,590.0555015000282,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Test/Foils/DialTone.wav,New,,,,,,,,,0,102,102,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.8051265000249,None,592.3388686800084,None,592.343549799989,None,592.343549799989,None,594.8552617999958,None,2,1,0.3367970999679528,594.8552617999958,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Test/Foils/Donkey.wav,Old,,,,,,,,,0,103,103,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.2233584999922,None,596.7549586200271,None,596.7491134000011,None,596.7491134000011,None,599.2551009000163,None,1,1,0.9243520000018179,599.2551009000163,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Phone_D.wav,Similar,,,,,,,,,0,104,104,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.2064423999982,None,601.7382894199923,None,601.7415320000146,None,601.7415320000146,None,604.25546700001,None,2,1,1.0985519000096247,604.25546700001,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Initial/Doubled/HairDryer_A.wav,Old,,,,,,,,,0,105,105,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.3716329000308,None,606.8718086600245,None,606.8832028000033,None,606.8832028000033,None,609.388398900046,None,1,1,0.584914899955038,609.388398900046,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Initial/NoRepeat/Sleighbells_B.wav,Old,,,,,,,,,0,106,106,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.988841000013,None,611.4881063600012,None,611.4990743999952,None,611.4990743999952,None,613.9215447999886,None,1,1,0.38611459999810904,613.9215447999886,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Test/Foils/Wind_B.wav,Old,,,,,,,,,0,107,107,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.3381114000222,None,615.8380750600306,None,615.8491179000121,None,615.8491179000121,None,618.3551123000216,None,1,1,1.1185330000007525,618.3551123000216,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Initial/Doubled/Bubbles_A.wav,Old,,,,,,,,,0,108,108,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.5050473000156,None,621.0215359200024,None,621.0199336000369,None,621.0199336000369,None,623.4385325000039,None,1,1,0.3776439999928698,623.4385325000039,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/Doubled/Cough_A.wav,New,,,,,,,,,0,109,109,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.8381271000253,None,625.3880500399856,None,625.3991421000101,None,625.3991421000101,None,627.1051088999957,None,2,1,0.981285999994725,627.1051088999957,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/Repeat/Cup.wav,New,,,,,,,,,0,110,110,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.1046950000455,None,629.6548813400324,None,629.6504761000397,None,629.6504761000397,None,630.9884296000237,None,2,1,0.6204120999900624,630.9884296000237,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Baby_C.wav,Similar,,,,,,,,,0,111,111,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.6379044000059,None,633.1545922199962,None,633.160140699998,None,633.160140699998,None,635.6550105999922,None,2,1,0.9321562999975868,635.6550105999922,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Test/Foils/Typing.wav,Old,,,,,,,,,0,112,112,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.6056402000249,None,638.1213899200316,None,638.1161193000153,None,638.1161193000153,None,640.6213347000303,None,2,0,0.8302803999977186,640.6213347000303,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Test/Foils/DialTone.wav,Old,,,,,,,,,0,113,113,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.4728950000135,None,642.9877840599918,None,642.9958792999969,None,642.9958792999969,None,645.5049043000326,None,1,1,1.6155611000140198,645.5049043000326,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Phone_C.wav,Similar,,,,,,,,,0,114,114,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.1377606000169,None,648.6544818200286,None,648.6508779000142,None,648.6508779000142,None,651.1547481000307,None,2,1,1.2321513000060804,651.1547481000307,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/Repeat/IceDrop.wav,New,,,,,,,,,0,115,115,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.4077840000391,None,653.9544212800159,None,653.9554990000324,None,653.9554990000324,None,656.4547312000068,None,2,1,0.8246295999852009,656.4547312000068,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Test/Foils/Donkey.wav,Old,,,,,,,,,0,116,116,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.3044489000458,None,658.8213392200064,None,658.8166642000433,None,658.8166642000433,None,661.3213296000031,None,1,1,0.6499280999996699,661.3213296000031,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
