ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate
,0,47,47,70,1,Test/Foils/Harmonica.wav,New,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,48,48,85,1,Initial/Doubled/Cough_A.wav,Extra,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,49,49,86,1,Initial/Doubled/Creak.wav,Extra,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,50,50,27,1,Initial/NoRepeat/Faucet_A.wav,NoRepeat,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,51,51,94,1,Initial/Repeat/IceDrop.wav,Extra,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,52,52,22,1,Initial/NoRepeat/Cow.wav,NoRepeat,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,53,53,38,1,Initial/NoRepeat/Snore_B.wav,NoRepeat,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,54,54,3,1,Initial/Doubled/Clap_A.wav,Doubled,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,55,55,84,1,Initial/Doubled/Clock_A.wav,Extra,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,56,56,18,1,Initial/Doubled/Surf_A.wav,Doubled,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,57,57,82,1,Initial/Doubled/Cat_A.wav,Extra,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,58,58,98,1,Initial/Doubled/Train_A.wav,Extra,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,59,59,20,1,Initial/NoRepeat/Baby_B.wav,NoRepeat,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
,0,60,60,43,1,Initial/Repeat/Cello.wav,Repeat,,001,2020-12-21_14h15.14.636,GuessTheSound,2020.2.10,Win32,60
