SoundFiles2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinue.started,VolumeContinue.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,StartTxt.started,StartTxt.stopped,no3.started,no3.stopped,no2.started,no2.stopped,no1.started,no1.stopped,Question.started,Question.stopped,ResponseBox.text,ResponseBox.started,ResponseBox.stopped,SubmitClick.started,SubmitClick.stopped,ClickTheButton.started,ClickTheButton.stopped,SoundItem.started,SoundItem.stopped,ItemNo.started,ItemNo.stopped,Submit.started,Submit.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,15.2977773998864,None,15.2977773998864,None,16.47353159985505,None,16.47353159985505,None,space,0.7529913000762463,16.47353159985505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
,,,,,,,,,,,,,,,,,17.255150399869308,None,17.255150399869308,None,space,1.0101818998809904,17.255150399869308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Siren_D.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,18.352340099867433,None,18.352440999937244,None,18.352340099867433,None,19.201816499931738,None,21.320948499953374,None,22.220461699878797,None,23.220102899940684,None,24.263781799934804,None,"

",24.263781799934804,None,0.008743440033867955,None,24.263781799934804,None,24.253868140024135,None,24.263781799934804,None,24.263781799934804,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Baby_A.wav,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79240499995649,None,27.80197670008056,None,28.801804299931973,None,29.82512110006064,None,"

",29.82512110006064,None,0.011311660055071115,None,29.82512110006064,None,29.8184276599437,None,29.82512110006064,None,29.82512110006064,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Baby_C.wav,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.939597599906847,None,32.95174549985677,None,33.95151049993001,None,34.974402100080624,None,"

",34.974402100080624,None,0.01268476014956832,None,34.974402100080624,None,34.96852315999567,None,34.974402100080624,None,34.974402100080624,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Baby_D.wav,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.178357699885964,None,38.185048500075936,None,39.18507619993761,None,40.214321499923244,None,"

",40.214321499923244,None,0.008589060045778751,None,40.214321499923244,None,40.20174276004545,None,40.214321499923244,None,40.214321499923244,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Laugh_B.wav,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.65492879995145,None,43.66837690002285,None,44.668506799964234,None,45.68652320001274,None,"

",45.68652320001274,None,0.013644560007378459,None,45.68652320001274,None,45.68497295994311,None,45.68652320001274,None,45.68652320001274,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Laugh_C.wav,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.937350699910894,None,49.95168559998274,None,50.95159369986504,None,51.967158699873835,None,"

",51.967158699873835,None,0.0031872799154371023,None,51.967158699873835,None,51.951577579905276,None,51.967158699873835,None,51.967158699873835,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Laugh_D.wav,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.15958119998686,None,56.168275699950755,None,57.168199700070545,None,58.18946740007959,None,"

",58.18946740007959,None,0.013523760251700878,None,58.18946740007959,None,58.18479115995578,None,58.18946740007959,None,58.18946740007959,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Bird_B.wav,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.723867000080645,None,62.734698799904436,None,63.734761599916965,None,64.74679940007627,None,"

",64.74679940007627,None,0.002838779939338565,None,64.74679940007627,None,64.734772879933,None,64.74679940007627,None,64.74679940007627,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Bird_C.wav,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.50812430004589,None,67.51816089986823,None,68.51806769985706,None,69.53479639999568,None,"

",69.53479639999568,None,0.0007612800691276789,None,69.53479639999568,None,69.51809197997208,None,69.53479639999568,None,69.53479639999568,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Bird_D.wav,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.33337599993683,None,72.3347004998941,None,73.33465950004756,None,74.35147199989296,None,"

",74.35147199989296,None,0.003470679745078087,None,74.35147199989296,None,74.33486188000533,None,74.35147199989296,None,74.35147199989296,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
CarStart_B.wav,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.92462369985878,None,76.93469220004044,None,77.93469809996895,None,78.95114859985188,None,"

",78.95114859985188,None,0.0006013798993080854,None,78.95114859985188,None,78.934696379886,None,78.95114859985188,None,78.95114859985188,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Carstart_C.wav,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.83352210000157,None,81.83456089999527,None,82.83460499998182,None,83.85202259989455,None,"

",83.85202259989455,None,0.016606960212811828,None,83.85202259989455,None,83.85123596005141,None,83.85202259989455,None,83.85202259989455,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
CarStart_D.wav,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.45437609986402,None,86.4679707000032,None,87.46781049994752,None,88.4841336000245,None,"

",88.4841336000245,None,0.0010517800692468882,None,88.4841336000245,None,88.46786798008252,None,88.4841336000245,None,88.4841336000245,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
Dog_B.wav,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.55391709995456,None,92.56778879999183,None,93.56800609990023,None,94.58562289993279,None,"

",94.58562289993279,None,0.0013013798743486404,None,94.58562289993279,None,94.56788927998859,None,94.58562289993279,None,94.58562289993279,None,,001,2021_Jan_05_0944,GuessTheSound,2020.2.10,59.90452418158258,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.59083679993637,None,97.60097029991448,None,98.60109829995781,None,,,,,,,,,,,,,,,,,,,,,,
