ResponseBox.text,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate
,3,1,1.280015,0,0,0,0,1,Initial/Doubled/Coin_A.wav,3,,001,2021-01-17_13h47.47.566,GuessTheSound,2020.2.10,Win32,60
,3,1,1.46186,0,1,1,1,1,Initial/Repeat/ManWhistle.wav,3,,001,2021-01-17_13h47.47.566,GuessTheSound,2020.2.10,Win32,60
