VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,3.3822,space,37.569735,space,2.386615,3,1,2.74599,0,0,0,0,1,Practice/Seagull_A.wav,3,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,3,1,1.37041,0,1,1,1,1,Practice/Skid_B.wav,3,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,1,1,4.517415,0,2,2,2,1,Practice/Seagull_A.wav,1,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,3,1,1.267975,0,3,3,3,1,Practice/Gargle_A.wav,3,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,2,1,0.70731,0,4,4,4,1,Practice/Gargle_B.wav,2,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,space,3.67024,3,1,1.468705,0,0,0,0,1,,
,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.48561,0,1,1,1,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,3,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.8945,0,2,2,2,1,,
,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,3,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.668425,0,3,3,3,1,,
,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,3,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.99282,0,4,4,4,1,,
,,,,,,,,,,,,,,Test/Foils/Bird.wav,3,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.853875,0,5,5,5,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,3,5ef21a210f31ff023a282d16,1,2021-01-17_23h46.20.704,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.419125,0,6,6,6,1,,
