VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,,,1,0,4.85443,0,10,10,10,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,,,3,1,0.475985,0,11,11,11,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,,,3,1,3.96121,0,12,12,12,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,,,3,1,0.902525,0,13,13,13,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,1,1,1.135415,0,14,14,14,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,,,3,1,0.365855,0,15,15,15,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,,,3,1,0.321705,0,16,16,16,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Baby_A.wav,,,2,1,0.406715,0,17,17,17,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,,,3,1,0.30211,0,18,18,18,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Siren_B.wav,,,3,0,0.369995,0,19,19,19,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,,,3,1,0.367615,0,20,20,20,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Bird_C.wav,,,3,0,0.382735,0,21,21,21,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Pour_D.wav,,,3,0,0.56832,0,22,22,22,1,,
