VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,7.465,space,13.34,1,1,1.564,0,0,0,1,1,Headphone/t1_2.wav,1,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.767,0,1,1,0,1,Headphone/t1_1.wav,1,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.487,0,2,2,2,1,Headphone/t2_1.wav,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.556,0,3,3,5,1,Headphone/t3_2.wav,3,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.418,0,4,4,3,1,Headphone/t2_2.wav,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.135,0,5,5,4,1,Headphone/t3_1.wav,3,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,space,11.026,space,23.376,space,3.56,3,1,3.243,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.921,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,1,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.802,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.681,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.551,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_E.wav,3,NEW,B,space,8.692,3,1,1.827,0,0,0,0,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,NEW,B,,,3,1,0.667,0,1,1,1,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_E.wav,3,NEW,B,,,3,1,0.851,0,2,2,2,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,NEW,B,,,3,1,0.468,0,3,3,3,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Phone_D.wav,3,NEW,B,,,3,1,0.685,0,4,4,4,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Cup.wav,3,NEW,B,,,3,1,0.59,0,5,5,5,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,3,NEW,B,,,3,1,0.478,0,6,6,6,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_D.wav,3,NEW,B,,,3,1,0.557,0,7,7,7,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,NEW,B,,,3,1,0.517,0,8,8,8,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Faucet_A.wav,3,NEW,B,,,3,1,0.629,0,9,9,9,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_B.wav,2,SIMILAR,B,,,1,0,0.719,0,10,10,10,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,3,NEW,B,,,3,1,0.321,0,11,11,11,1,,
,,,,,,,,,,,,,1,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,1,OLD,B,,,1,1,0.894,0,12,12,12,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,NEW,B,,,3,1,1.236,0,13,13,13,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_A.wav,3,NEW,B,,,3,1,0.435,0,14,14,14,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Phone_A.wav,2,SIMILAR,B,,,1,0,3.767,0,15,15,15,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,B,,,3,1,0.602,0,16,16,16,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_F.wav,2,SIMILAR,B,,,2,1,0.775,0,17,17,17,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,B,,,2,0,0.509,0,18,18,18,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Piano_D.wav,3,NEW,B,,,3,1,0.606,0,19,19,19,1,,
,,,,,,,,,,,,,1,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Cup.wav,1,OLD,B,,,1,1,0.352,0,20,20,20,1,,
,,,,,,,,,,,,,1,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,1,OLD,B,,,1,1,0.501,0,21,21,21,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,B,,,3,1,0.471,0,22,22,22,1,,
,,,,,,,,,,,,,1,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,1,OLD,B,,,1,1,0.969,0,23,23,23,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Whistle_A.wav,3,NEW,B,,,3,1,0.388,0,24,24,24,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chick_A.wav,2,SIMILAR,B,,,2,1,2.039,0,25,25,25,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Dog_E.wav,3,NEW,B,,,3,1,0.82,0,26,26,26,1,,
,,,,,,,,,,,,,1,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,1,OLD,B,,,1,1,0.667,0,27,27,27,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,3,NEW,B,,,3,1,0.736,0,28,28,28,1,,
,,,,,,,,,,,,,1,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,1,OLD,B,,,3,0,0.636,0,29,29,29,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Snore_D.wav,3,NEW,B,,,3,1,0.6,0,30,30,30,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Faucet_C.wav,2,SIMILAR,B,,,2,1,0.717,0,31,31,31,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,2,SIMILAR,B,,,2,1,2.793,0,32,32,32,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_E.wav,2,SIMILAR,B,,,1,0,0.305,0,33,33,33,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Heartbeat.wav,3,NEW,B,,,3,1,0.474,0,34,34,34,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_D.wav,2,SIMILAR,B,,,2,1,0.822,0,35,35,35,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Cello.wav,3,NEW,B,,,3,1,1.036,0,36,36,36,1,,
,,,,,,,,,,,,,1,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Piano_D.wav,1,OLD,B,,,1,1,0.601,0,37,37,37,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Clap_B.wav,3,NEW,B,,,2,0,0.534,0,38,38,38,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Bagpipe.wav,3,NEW,B,,,3,1,0.453,0,39,39,39,1,,
,,,,,,,,,,,,,2,5ff0b85befea4044b6a00d64,001,2021-02-28_17h56.31.649,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Growl_E.wav,3,NEW,B,,,3,1,0.619,0,40,40,40,1,,
