VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,3.73406,space,6.27788,3,1,2.021185,0,0,0,5,1,Headphone/t3_2.wav,3,602bd3c3cfb313398f836c1a,001,2021-03-09_03h42.45.913,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.25292,0,1,1,3,1,Headphone/t2_2.wav,2,602bd3c3cfb313398f836c1a,001,2021-03-09_03h42.45.913,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.63671,0,2,2,0,1,Headphone/t1_1.wav,1,602bd3c3cfb313398f836c1a,001,2021-03-09_03h42.45.913,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.69676,0,3,3,1,1,Headphone/t1_2.wav,1,602bd3c3cfb313398f836c1a,001,2021-03-09_03h42.45.913,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.43065,0,4,4,4,1,Headphone/t3_1.wav,3,602bd3c3cfb313398f836c1a,001,2021-03-09_03h42.45.913,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.44456,0,5,5,2,1,Headphone/t2_1.wav,2,602bd3c3cfb313398f836c1a,001,2021-03-09_03h42.45.913,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,602bd3c3cfb313398f836c1a,001,2021-03-09_03h42.45.913,GuessTheSound,2020.2.10,Win32,60,space,18.267265,space,7.810735,space,3.08914,2,1,5.771635,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,602bd3c3cfb313398f836c1a,001,2021-03-09_03h42.45.913,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,2.66309,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,602bd3c3cfb313398f836c1a,001,2021-03-09_03h42.45.913,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,3.538425,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,602bd3c3cfb313398f836c1a,001,2021-03-09_03h42.45.913,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,3.16452,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
