VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,CarStart_D.wav,SIMILAR,,,2,1,0.436,0,10,10,10,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Whistle_A.wav,NEW,,,2,1,1.403,0,11,11,11,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,OLD,,,1,1,0.42,0,12,12,12,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chomp_B.wav,SIMILAR,,,1,0,1.104,0,13,13,13,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Piano_B.wav,SIMILAR,,,2,1,0.468,0,14,14,14,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,OLD,,,1,1,0.417,0,15,15,15,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,OLD,,,1,1,0.54,0,16,16,16,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Whistle_B.wav,SIMILAR,,,2,1,0.451,0,17,17,17,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,OLD,,,1,1,0.518,0,18,18,18,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Footsteps_B.wav,OLD,,,1,1,0.487,0,19,19,19,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,CarStart_B.wav,SIMILAR,,,2,1,5.099,0,20,20,20,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,OLD,,,1,1,0.373,0,21,21,21,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,OLD,,,1,1,0.901,0,22,22,22,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chomp_C.wav,SIMILAR,,,1,0,0.605,0,23,23,23,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,NEW,,,2,1,0.484,0,24,24,24,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,OLD,,,1,1,0.421,0,25,25,25,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,NEW,,,2,1,0.556,0,26,26,26,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Piano_C.wav,SIMILAR,,,1,0,0.422,0,27,27,27,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,OLD,,,1,1,0.604,0,28,28,28,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,NEW,,,2,1,0.425,0,29,29,29,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,OLD,,,1,1,0.551,0,30,30,30,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,NEW,,,2,1,0.403,0,31,31,31,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Footsteps_B.wav,OLD,,,1,1,0.541,0,32,32,32,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Whistle_C.wav,SIMILAR,,,2,1,0.524,0,33,33,33,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,NEW,,,2,1,0.334,0,34,34,34,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,NEW,,,2,1,0.352,0,35,35,35,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,OLD,,,1,1,0.908,0,36,36,36,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Camera.wav,NEW,,,2,1,0.701,0,37,37,37,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,OLD,,,1,1,0.191,0,38,38,38,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,OLD,,,1,1,0.317,0,39,39,39,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,NEW,,,2,1,0.404,0,40,40,40,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_C.wav,SIMILAR,,,2,1,0.469,0,41,41,41,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Pour_D.wav,SIMILAR,,,2,1,0.167,0,42,42,42,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,NEW,,,2,1,0.383,0,43,43,43,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/PaperRip.wav,NEW,,,2,1,0.417,0,44,44,44,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,OLD,,,1,1,0.375,0,45,45,45,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_D.wav,SIMILAR,,,2,1,0.416,0,46,46,46,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Camera.wav,OLD,,,1,1,0.553,0,47,47,47,1,,
